node,page_rank,overall_rank,comm,rank_comm
665,0.20791766441740125,1,11,1
666,0.19286007984222409,2,11,2
85,0.18255505960778076,3,1,1
668,0.18094072370197822,4,11,3
667,0.17338405806494542,5,11,4
673,0.1675164997202648,6,11,5
226,0.1484441486584411,7,2,1
663,0.13076517343671437,8,11,6
44,0.12081608618842878,9,1,2
669,0.11789182465319027,10,11,7
2,0.11765440173477272,11,1,3
661,0.10754297051772731,12,11,8
548,0.10638835529023968,13,7,1
247,0.10536892417761609,14,2,2
183,0.10061551130897411,15,2,3
144,0.09044192868556697,16,2,4
176,0.08808187306434095,17,2,5
674,0.0855035806654114,18,12,1
658,0.08489673891157977,19,10,1
254,0.0833227168617017,20,2,6
664,0.08284729152624933,21,11,9
670,0.08255953413600266,22,11,10
23,0.08015729016617514,23,1,4
252,0.07732240859348893,24,2,7
242,0.07385052282551469,25,2,8
537,0.06926224706222149,26,6,1
257,0.06881551320702685,27,2,9
672,0.0659637460200305,28,11,11
4,0.06554820259953437,29,1,5
530,0.06396757272838122,30,6,2
51,0.06286387566148573,31,1,6
181,0.062224706769724025,32,2,10
681,0.06069934946299822,33,12,2
217,0.060399412395884304,34,2,11
671,0.059079111324017324,35,11,12
182,0.058940732330102434,36,2,12
205,0.058817489796283526,37,2,13
243,0.05795284375523571,38,2,14
618,0.05707045470150178,39,8,1
25,0.05659161765591421,40,1,7
148,0.05637381465446199,41,2,15
212,0.05604244929390266,42,2,16
115,0.052962491421352925,43,1,8
160,0.050877756558562644,44,2,17
519,0.05021212539659374,45,6,3
15,0.050184241031797056,46,1,9
514,0.04954710495293473,47,6,4
213,0.04930879489473385,48,2,18
91,0.04899591219907651,49,1,10
81,0.048606880311019875,50,1,11
193,0.04856714242022391,51,2,19
556,0.04766897608125158,52,7,2
108,0.04750170303818435,53,1,12
231,0.04663354453357029,54,2,20
86,0.045819918796647,55,1,13
551,0.04496743595759356,56,7,3
178,0.044406993311901614,57,2,21
544,0.04427371984664571,58,6,5
119,0.043077541757481574,59,1,14
595,0.04300003144267983,60,8,2
417,0.04243979373460613,61,4,1
662,0.0419383825996984,62,11,13
648,0.04150558006732909,63,10,2
170,0.04115914067895651,64,2,22
677,0.04050589864902758,65,12,3
561,0.03878072050484488,66,7,4
597,0.038270572194120535,67,8,3
111,0.03720973300818025,68,1,15
159,0.036432055008450856,69,2,23
385,0.03640252392225682,70,4,2
566,0.03582889015551585,71,7,5
197,0.0357809172697721,72,2,24
110,0.035462863664187175,73,1,16
72,0.03505174164826072,74,1,17
107,0.03484944696809673,75,1,18
222,0.03474505896120442,76,2,25
200,0.03456815966082353,77,2,26
218,0.034533933956605915,78,2,27
506,0.033293904798816894,79,6,6
434,0.03318029026934654,80,4,3
49,0.03254204543962751,81,1,19
98,0.03251772974426897,82,1,20
342,0.03242898215034855,83,3,1
679,0.03239024401967057,84,12,4
575,0.03204985981345493,85,7,6
175,0.031341472541469996,86,2,28
654,0.031218432618422685,87,10,3
625,0.0302351606052759,88,8,4
513,0.029797218058717878,89,6,7
26,0.029445453171308724,90,1,21
446,0.029393368274171418,91,4,4
62,0.028945697135175245,92,1,22
174,0.028656448192372,93,2,29
659,0.02851911421416249,94,10,4
565,0.027446701594110588,95,7,7
9,0.02721036745616474,96,1,23
509,0.02714261978311821,97,6,8
64,0.02694723683552337,98,1,24
445,0.026811108231344926,99,4,5
116,0.025991358063818394,100,1,25
157,0.02580949038548016,101,2,30
46,0.025227492385503935,102,1,26
626,0.025134875872638737,103,8,5
649,0.024630533412315806,104,10,5
678,0.024314244472549665,105,12,5
433,0.024102413781431964,106,4,6
63,0.024099115521415398,107,1,27
650,0.023848597794546126,108,10,6
207,0.023828070986271595,109,2,31
358,0.022911394421780595,110,3,2
55,0.022839365366454593,111,1,28
118,0.022058444484855867,112,1,29
34,0.022037674972450433,113,1,30
165,0.021769204377984026,114,2,32
117,0.021685804631889925,115,1,31
59,0.02112387602400199,116,1,32
390,0.02072535846035246,117,4,7
53,0.020490144540003096,118,1,33
582,0.020395351388127217,119,7,8
557,0.020311934714206163,120,7,9
341,0.020030274458260146,121,3,3
324,0.019836860397067706,122,3,4
609,0.019265117626904894,123,8,6
395,0.019245697549875335,124,4,8
432,0.019152686762517166,125,4,9
258,0.01914138219946024,126,2,33
192,0.018744340870512965,127,2,34
206,0.017920608990663518,128,2,35
524,0.017802821079296434,129,6,9
220,0.017487374950293014,130,2,36
29,0.017009746776432983,131,1,34
164,0.016724425001904453,132,2,37
397,0.016612688056324057,133,4,10
621,0.016357076043734823,134,8,7
75,0.016343338363611286,135,1,35
194,0.01596260774686046,136,2,38
