node,page_rank,rank,comm,rank_comm
325,0.0025390912895078576,59,13,4
365,0.0025165815939729385,60,15,2
248,0.002511621240012765,61,12,6
74,0.0024841244034488146,62,3,8
616,0.0024746073782336516,63,27,6
1122,0.0024009345498433245,64,68,2
63,0.0023921812083002435,65,2,3
1261,0.0023856753963177164,66,92,2
1216,0.002360452004214002,67,86,1
553,0.0023409984516491594,68,25,2
128,0.0023277340779022694,69,6,3
111,0.0023155428318783066,70,3,9
284,0.002306914735162587,71,12,7
515,0.0022932319770564993,72,23,2
6,0.0022806464425493486,73,1,1
914,0.0022514503804183907,74,46,1
14,0.002230714330576688,75,1,2
226,0.0022215954634427666,76,12,8
327,0.002192940583303816,77,13,5
902,0.002153125302004941,78,43,1
677,0.0021319170941420237,79,28,1
238,0.0021298568288973738,80,12,9
757,0.002113151859401378,81,34,3
955,0.002085148565019064,82,51,2
791,0.0020841648145315467,83,36,2
318,0.0020542066651850982,84,13,6
662,0.002048800230061453,85,27,7
240,0.002048123674053186,86,12,10
266,0.0020478767707046747,87,12,11
738,0.002013966099198017,88,34,4
1223,0.0020110191994157987,89,86,2
726,0.002002777838374998,90,33,1
206,0.0019960271257040384,91,8,3
179,0.0019925479431170275,92,8,4
589,0.0019052360165793634,93,26,1
1108,0.0019041401321635608,94,66,1
187,0.0019012624183638081,95,8,5
798,0.0018994322150958556,96,39,1
118,0.0018971692599265401,97,3,10
1025,0.001895960973424786,98,58,3
871,0.0018683186776327562,99,42,4
190,0.0018584421731507174,100,8,6
54,0.0018437122119071942,101,2,4
547,0.0018429316015936162,102,24,1
8,0.0018382857614536341,103,1,3
788,0.0018327279371375897,104,36,3
26,0.0018313106759088997,105,2,5
564,0.001824618420861835,106,25,3
1192,0.001816543017625135,107,85,1
546,0.0018094848170569905,108,24,2
1196,0.0018005504464343757,109,85,2
324,0.001791517394809851,110,13,7
884,0.00178816443441853,111,42,5
593,0.0017870075488855997,112,26,2
447,0.0017795590630488895,113,17,1
669,0.0017739120710982183,114,27,8
315,0.0017702572916224774,115,13,8
437,0.0017583912383214353,116,16,7
233,0.0017468999367793124,117,12,12
550,0.001740102797707541,118,24,3
924,0.0017384728650193027,119,46,2
1139,0.0017307799307311978,120,69,1
889,0.0017285558112649867,121,43,2
539,0.0017277469304363662,122,24,4
728,0.0017230546338932776,123,33,2
208,0.0017132264218221642,124,8,7
31,0.0017043920625897644,125,2,6
168,0.0017032719248907381,126,6,4
274,0.0016813817144589766,127,12,13
276,0.0016807306265117549,128,12,14
373,0.001676732572342762,129,16,8
1163,0.0016766036626429635,130,75,1
446,0.0016662672625660535,131,17,2
155,0.0016511981172795257,132,6,5
1199,0.0016490889460860454,133,85,3
139,0.0016438345245135251,134,6,6
256,0.001642685233717878,135,12,15
600,0.0016383594351960498,136,26,3
463,0.001623363731000309,137,19,1
1279,0.0016205485920002467,138,92,3
1060,0.0016065096865189572,139,61,1
1190,0.0016030600059319913,140,84,1
1087,0.0015952694235390828,141,63,4
668,0.0015923190651077898,142,27,9
1041,0.0015843059931141764,143,60,1
560,0.0015801911195449658,144,25,4
418,0.0015795329700545734,145,16,9
193,0.001572351130879152,146,8,8
323,0.0015646062568319776,147,13,9
690,0.001543769058284281,148,31,1
1064,0.0015252256460051592,149,63,5
1131,0.0015210067144944069,150,68,3
561,0.0015195769435158535,151,25,5
505,0.0015194961896209582,152,21,5
228,0.0015165144137242598,153,12,16
468,0.0015087554676479057,154,19,2
1132,0.0015076127059119493,155,68,4
452,0.0014952733654530776,156,19,3
62,0.0014948343702144023,157,2,7
467,0.001487502197033161,158,19,4
84,0.001486382763569906,159,3,11
415,0.0014820858342083493,160,16,10
1222,0.0014787527837814075,161,86,3
201,0.0014708347374833687,162,8,9
599,0.0014637978683427403,163,26,4
1284,0.0014595688181108229,164,93,1
688,0.001458750176798856,165,30,1
1039,0.0014572987019322147,166,60,2
211,0.0014533032509623039,167,10,1
691,0.0014529599878764325,168,31,2
1052,0.0014496010883337633,169,61,2
7,0.0014398644382087652,170,1,4
225,0.0014364385015897506,171,12,17
1151,0.0014320332367138836,172,73,1
148,0.0014194584080655824,173,6,7
612,0.0014034902502792984,174,27,10
1125,0.00139886018811532,175,68,5
173,0.0013937552621291402,176,6,8
1121,0.0013925233047887373,177,68,6
221,0.0013915875527197794,178,12,18
454,0.0013896121311268795,179,19,5
1180,0.001386045759881816,180,82,1
541,0.0013854603802955323,181,24,5
212,0.0013775087790026748,182,10,2
34,0.0013772719012878592,183,2,8
628,0.0013673548593406088,184,27,11
1276,0.0013650731179077756,185,92,4
570,0.0013620995542896078,186,25,6
1034,0.001357695337430749,187,58,4
247,0.0013551186666202228,188,12,19
1050,0.0013471661127566533,189,61,3
721,0.0013446678852601065,190,33,3
387,0.001341484170312283,191,16,11
444,0.001341002503399476,192,17,3
805,0.0013383714534743552,193,40,1
887,0.0013381950896419754,194,43,3
938,0.0013311643669629179,195,50,1
1150,0.0013291494750278733,196,73,2
12,0.0013276988246770343,197,1,5
218,0.001326588778184648,198,12,20
78,0.0013240411850952672,199,3,12
431,0.0013236614205542666,200,16,12
894,0.0013139283893155054,201,43,4
183,0.0013030770170267007,202,8,10
554,0.0013020294129335557,203,25,7
