n_nodes,influence,communities,time,nodes,std
47.0,1120.16,7,15,"[1684, 3830, 2492, 957, 2906, 2498, 507, 348, 2549, 1483, 414, 2782, 9, 637, 107, 3677, 2694, 2521, 2900, 2304, 0, 579, 1159, 1800, 1288, 2194, 1939, 2839, 2081, 2601, 2218, 2614, 698, 828, 2556, 1912, 1471, 2126, 2279, 1742, 2384, 2659, 1124, 3051, 747, 3437, 3324]",94.79742823515836
81.0,1230.8,7,14,"[1684, 3830, 845, 2549, 2492, 1210, 3284, 1833, 9, 507, 414, 525, 2900, 2601, 348, 2194, 2218, 2240, 2694, 1742, 2614, 3324, 2498, 828, 1483, 271, 2521, 1912, 3145, 1471, 2556, 1275, 637, 2279, 3051, 2839, 2717, 107, 2304, 0, 3437, 2428, 747, 2228, 2384, 1159, 1800, 2944, 436, 2081, 698, 1288, 1006, 2187, 2126, 2578, 2659, 1939, 916, 1691, 2716, 925, 3101, 1571, 2378, 3363, 419, 2090, 556, 1583, 1327, 3603, 1339, 2108, 66, 1603, 973, 2390, 2940, 1124, 2278]",85.37845395648716
12.0,879.82,6,16,"[1684, 3830, 2492, 3082, 414, 2304, 0, 136, 348, 107, 3437, 1912]",102.05567108201288
23.0,990.1,7,16,"[1684, 705, 348, 2492, 2751, 414, 2304, 107, 1912, 3437, 3284, 984, 3503, 1483, 3980, 2839, 1800, 828, 3274, 0, 136, 2093, 2384]",98.39692881386085
25.0,1000.82,7,17,"[1684, 3830, 2492, 2751, 414, 3284, 3877, 348, 728, 1483, 2839, 3980, 1800, 828, 3274, 507, 2601, 2093, 136, 2304, 0, 747, 1912, 107, 3437]",89.6970456592635
64.0,1196.22,7,15,"[1684, 3830, 2492, 2751, 414, 3284, 2907, 728, 3980, 348, 3274, 3677, 2839, 828, 1284, 637, 1483, 507, 2694, 2521, 1159, 2428, 1800, 271, 1912, 2184, 2601, 1269, 3076, 1288, 2304, 107, 747, 2384, 0, 3437, 2194, 3731, 2717, 1939, 2279, 916, 436, 2716, 1721, 3101, 2081, 3363, 1571, 2556, 2218, 698, 1327, 3051, 2614, 1471, 1339, 3324, 2126, 1742, 3150, 2390, 2659, 1124]",77.45929511685476
13.0,904.8,7,16,"[1684, 3830, 1040, 698, 414, 1721, 828, 2304, 0, 348, 107, 3437, 1912]",95.03271226267302
73.0,1222.56,7,14,"[1684, 3830, 1842, 957, 2906, 728, 3284, 3980, 348, 3274, 3677, 3076, 414, 2725, 1339, 107, 507, 556, 637, 1583, 3603, 2304, 2108, 0, 66, 1284, 1603, 2694, 1159, 1483, 1800, 2184, 1269, 2521, 1288, 973, 271, 2194, 2940, 1912, 2278, 1939, 916, 2428, 2839, 828, 2716, 2556, 3877, 2717, 3101, 2081, 3363, 1571, 2601, 2218, 1327, 436, 2614, 1721, 747, 698, 1471, 2126, 3051, 1742, 3437, 2384, 3150, 3324, 2390, 2659, 1124]",79.34299212910993
37.0,1069.1,7,16,"[1684, 3830, 2492, 2751, 414, 3284, 2907, 3849, 3980, 3274, 3677, 348, 1284, 2839, 828, 637, 1483, 507, 2694, 2521, 1159, 2428, 1800, 271, 2184, 2601, 1912, 1269, 3076, 1288, 747, 2304, 0, 107, 3437, 2384, 698]",103.21317939100607
57.0,1157.82,7,15,"[1684, 3830, 422, 2751, 3284, 414, 2907, 728, 3980, 348, 3274, 3677, 1483, 2108, 828, 637, 2304, 2839, 507, 0, 1284, 2694, 2428, 2521, 1159, 1288, 1800, 1912, 271, 2194, 3731, 1269, 916, 1939, 2716, 2601, 107, 747, 3101, 2717, 2081, 3437, 3363, 2384, 1571, 2218, 1327, 436, 2279, 2614, 1721, 698, 1339, 2556, 1471, 1124, 3051]",95.3217729587527
56.0,1157.56,7,15,"[1684, 3830, 422, 2751, 3284, 2907, 414, 728, 3980, 3274, 348, 3677, 1483, 637, 507, 2108, 1284, 828, 2428, 2521, 271, 916, 2839, 2304, 1939, 2717, 0, 1912, 2279, 2694, 2614, 1159, 1800, 1269, 1288, 2194, 3731, 2716, 3101, 107, 747, 2081, 3363, 2601, 3437, 1571, 2218, 2410, 436, 1721, 2384, 698, 1339, 2556, 1471, 3051]",98.89343962063408
35.0,1068.2,7,16,"[1684, 3830, 348, 1721, 414, 3940, 984, 2492, 828, 2304, 0, 3503, 3284, 107, 698, 1912, 3437, 3980, 3274, 2093, 2716, 3101, 1483, 2279, 1097, 2839, 136, 1471, 9, 747, 2081, 1800, 3495, 2384, 436]",82.17078799670841
33.0,1054.36,7,15,"[1684, 3830, 2492, 2751, 414, 1420, 844, 3284, 348, 507, 2601, 2556, 2839, 828, 1471, 9, 1483, 2081, 3980, 3495, 436, 698, 1800, 1912, 3274, 2093, 2304, 0, 136, 107, 747, 2384, 3437]",82.72553172993209
40.0,1100.38,7,16,"[1684, 3830, 2492, 2751, 3849, 3284, 2907, 2716, 414, 3101, 3677, 2081, 348, 3274, 2218, 637, 436, 2614, 507, 3980, 1721, 1471, 2428, 1483, 828, 2521, 3051, 2839, 2304, 1912, 1284, 0, 2694, 1159, 1800, 1379, 698, 107, 3437, 2384]",91.394198940633
