generation,hv,influence_k,influence_comm,k_comm
1,0.05254244573393511,0.0791940683430045,0.1427272727272727,0.5
2,0.058289275736084244,0.0817472598323662,0.14326241134751774,0.5555555555555555
3,0.05966688158177521,0.08449387491940684,0.14472598323662156,0.5555555555555555
4,0.060145604986030526,0.08468407479045775,0.1496905222437137,0.5555555555555555
5,0.062273801848269944,0.0862862669245648,0.1496905222437137,0.5694444444444444
6,0.06585375026864389,0.0866602192134107,0.14987105093488073,0.5972222222222222
7,0.06595476036965399,0.08685041908446162,0.16042553191489362,0.5972222222222222
8,0.06599666881581774,0.08688588007736944,0.16042553191489362,0.5972222222222222
9,0.06665269718461207,0.08699548678272082,0.16042553191489362,0.5972222222222222
10,0.06693853427895981,0.08744358478401032,0.16071566731141199,0.5972222222222222
11,0.06705888673973781,0.08762411347517729,0.16071566731141199,0.5972222222222222
12,0.06801579626047712,0.08853642811089618,0.16071566731141199,0.5972222222222222
13,0.06859069417580056,0.08943907156673114,0.16756286266924567,0.5972222222222222
14,0.06932892757360842,0.09034816247582206,0.16811734364925854,0.5972222222222222
15,0.07156028368794326,0.09067053513862024,0.16811734364925854,0.611111111111111
16,0.07237857296367935,0.09171824629271438,0.16811734364925854,0.611111111111111
17,0.07238018482699334,0.09174081237911025,0.16811734364925854,0.611111111111111
18,0.07240328820116054,0.09174081237911025,0.16843971631205676,0.611111111111111
19,0.07254835589941973,0.09193101225016118,0.16843971631205676,0.611111111111111
20,0.07262679991403397,0.09198903932946487,0.16843971631205676,0.611111111111111
21,0.07264076939608854,0.09198903932946487,0.16843971631205676,0.611111111111111
22,0.07268912529550828,0.09198903932946487,0.16843971631205676,0.611111111111111
23,0.07281592520954225,0.0921792392005158,0.16843971631205676,0.611111111111111
24,0.0730491081022996,0.09258865248226952,0.16843971631205676,0.611111111111111
25,0.07326294863528907,0.09258865248226952,0.16851063829787236,0.611111111111111
26,0.07326294863528907,0.09258865248226952,0.16861379754996778,0.611111111111111
27,0.07339565871480766,0.09268536428110898,0.16861379754996778,0.611111111111111
28,0.07489952718676123,0.09268536428110898,0.16861379754996778,0.6249999999999999
29,0.07518697614442296,0.09276595744680852,0.16861379754996778,0.6249999999999999
30,0.07548409628196863,0.09312056737588652,0.1687878787878788,0.6249999999999999
31,0.07555663013109823,0.09324629271437783,0.1687878787878788,0.6249999999999999
32,0.0756248656780572,0.09342359767891684,0.1687878787878788,0.6249999999999999
33,0.0756941758005588,0.09362024500322372,0.1687878787878788,0.6249999999999999
34,0.07605147216849345,0.09397807865892972,0.16925209542230818,0.6249999999999999
35,0.07605147216849345,0.09397807865892972,0.16925209542230818,0.6249999999999999
36,0.07647646679561573,0.09452933591231462,0.1693423597678917,0.6249999999999999
37,0.07649580915538362,0.09455834945196645,0.17197936814958092,0.6249999999999999
38,0.07679776488287125,0.09497743391360411,0.17197936814958092,0.6249999999999999
39,0.07685364281108963,0.09497743391360411,0.17197936814958092,0.6249999999999999
40,0.07686492585428754,0.09497743391360411,0.17201160541586075,0.6249999999999999
41,0.07704706640876853,0.09497743391360411,0.17201160541586075,0.6249999999999999
42,0.07704706640876853,0.0953191489361702,0.17201160541586075,0.6249999999999999
43,0.07726896625832796,0.09560283687943262,0.17201160541586075,0.6249999999999999
44,0.0772818611648399,0.09560283687943262,0.17222437137330757,0.6249999999999999
45,0.07729206963249517,0.09560283687943262,0.17222437137330757,0.6249999999999999
46,0.07729206963249517,0.09560283687943262,0.17222437137330757,0.6249999999999999
47,0.07765097786374382,0.0961411992263056,0.17222437137330757,0.6249999999999999
48,0.07789383193638515,0.09638942617666021,0.17222437137330757,0.6249999999999999
49,0.07789383193638515,0.09638942617666021,0.17228884590586718,0.6249999999999999
50,0.07789383193638515,0.09638942617666021,0.17228884590586718,0.6249999999999999
51,0.07801794541156244,0.09638942617666021,0.17228884590586718,0.6249999999999999
52,0.07821459273586932,0.09676015473887813,0.17228884590586718,0.6249999999999999
53,0.07821459273586932,0.09676015473887813,0.17228884590586718,0.6249999999999999
54,0.07825918762088975,0.09676015473887813,0.17228884590586718,0.6249999999999999
55,0.07826241134751773,0.09676015473887813,0.17238555770470665,0.6249999999999999
56,0.0783489146787019,0.09676337846550612,0.17257898130238555,0.6249999999999999
57,0.0785170857511283,0.09700193423597679,0.17257898130238555,0.6249999999999999
58,0.07851923490221362,0.09700515796260475,0.17257898130238555,0.6249999999999999
59,0.07851923490221362,0.09700515796260475,0.173036750483559,0.6249999999999999
60,0.07853750268643885,0.09700515796260475,0.173036750483559,0.6249999999999999
61,0.07859123146357189,0.09708575112830431,0.173036750483559,0.6249999999999999
62,0.07891252955082743,0.0975693101225016,0.173036750483559,0.6249999999999999
