n_nodes,influence,communities,time,nodes
46.0,90.75,9,5,"[1341, 17, 1780, 533, 861, 603, 4309, 599, 164, 2960, 1494, 634, 777, 1793, 25, 87, 1093, 5543, 538, 545, 3411, 1114, 988, 1265, 172, 4367, 5746, 1600, 1593, 734, 1302, 184, 524, 3806, 748, 1429, 1648, 214, 410, 1419, 716, 567, 565, 2487, 2957, 38]"
29.0,61.55,5,5,"[4425, 5169, 710, 869, 2787, 1097, 778, 603, 599, 184, 779, 1551, 513, 3046, 514, 3978, 3592, 654, 988, 1528, 283, 1423, 859, 273, 524, 1816, 1156, 777, 1429]"
25.0,56.04,7,5,"[1341, 17, 1190, 3861, 861, 230, 699, 513, 599, 3592, 184, 777, 1134, 1524, 903, 1100, 1119, 4627, 180, 988, 4372, 3833, 482, 553, 1816]"
49.00000000000001,88.86,11,5,"[735, 4372, 1288, 2452, 182, 1265, 3435, 184, 1275, 1429, 2170, 2897, 778, 1114, 360, 3007, 4039, 5746, 1524, 1312, 654, 1444, 1914, 3978, 3833, 1100, 1119, 482, 3728, 777, 1471, 1816, 180, 553, 4627, 303, 903, 1780, 513, 690, 3303, 4367, 410, 1122, 962, 1126, 1784, 1526, 13]"
31.0,59.94,10,4,"[4064, 710, 3728, 1471, 2960, 87, 2452, 777, 3868, 1265, 690, 2548, 5746, 1093, 1114, 988, 25, 13, 1793, 5240, 538, 268, 524, 2957, 545, 1593, 3411, 4367, 184, 4644, 1429]"
13.0,33.95,4,4,"[1341, 17, 1190, 533, 1873, 230, 699, 513, 599, 3592, 184, 988, 524]"
47.0,71.78,11,4,"[735, 2047, 778, 4749, 988, 4366, 152, 274, 2957, 4372, 407, 4237, 5400, 1562, 2446, 391, 3355, 1703, 54, 2113, 25, 3156, 538, 2960, 1593, 748, 4367, 3411, 1429, 268, 1471, 5231, 2452, 13, 1536, 3868, 2548, 5240, 1265, 5746, 1138, 713, 690, 3671, 4547, 606, 2274]"
7.0,18.56,5,3,"[4064, 710, 3728, 1471, 4753, 184, 988]"
9.0,25.32,3,4,"[735, 4372, 4206, 1746, 180, 617, 988, 184, 778]"
54.0,97.46,11,5,"[735, 4372, 1288, 182, 2452, 1265, 3435, 1275, 2170, 184, 778, 3007, 1429, 2897, 1444, 360, 114, 5746, 1524, 1114, 3728, 4546, 1914, 888, 38, 3833, 945, 1858, 3152, 513, 1312, 514, 3708, 1119, 482, 3592, 654, 1100, 1780, 777, 3978, 13, 4367, 4651, 546, 1545, 4627, 410, 1317, 263, 209, 1086, 606, 180]"
6.0,16.8,4,3,"[3833, 17, 2510, 2072, 184, 988]"
45.0,89.43,10,5,"[1341, 326, 1190, 533, 861, 230, 699, 513, 599, 3592, 184, 3978, 779, 13, 5240, 2957, 1551, 1143, 988, 283, 5746, 4367, 748, 777, 740, 1423, 1877, 734, 524, 1419, 875, 3339, 3046, 2035, 643, 3833, 1593, 2955, 1549, 484, 1630, 654, 1528, 87, 1816]"
22.0,48.43,8,5,"[3376, 17, 4, 3718, 513, 777, 988, 599, 5225, 184, 1134, 1524, 903, 1100, 1119, 4627, 180, 4372, 3833, 482, 553, 1816]"
24.0,52.78,6,4,"[3833, 17, 2510, 2072, 184, 988, 875, 2035, 643, 2955, 1305, 513, 484, 3592, 1630, 3978, 779, 524, 654, 1551, 1423, 1528, 87, 1816]"
80.0,144.57,7,5,"[735, 555, 1119, 599, 5169, 603, 869, 777, 2648, 87, 634, 3728, 184, 1143, 3972, 1308, 3156, 1494, 2960, 748, 283, 164, 988, 1428, 159, 3046, 172, 565, 636, 2487, 1600, 734, 1648, 1302, 1093, 1793, 524, 740, 643, 214, 716, 568, 303, 1526, 13, 888, 1188, 709, 2370, 776, 1509, 1784, 1122, 239, 1126, 410, 3538, 514, 3592, 2957, 143, 1277, 1423, 914, 22, 1307, 180, 1311, 962, 292, 550, 44, 175, 694, 223, 1342, 2242, 1641, 4298, 213]"
90.0,159.39,8,5,"[646, 17, 1190, 3861, 861, 87, 634, 2648, 2960, 3592, 184, 1494, 777, 1143, 164, 3972, 1119, 1308, 3156, 748, 988, 180, 1793, 4372, 283, 524, 1419, 1093, 159, 636, 734, 1648, 3046, 568, 3728, 776, 545, 172, 565, 2487, 303, 1600, 1302, 740, 1122, 643, 1126, 1784, 3960, 1526, 716, 962, 2957, 888, 410, 514, 13, 143, 1277, 1423, 914, 4298, 223, 22, 1307, 1311, 292, 550, 213, 1641, 44, 175, 694, 1342, 2242, 2370, 488, 2937, 709, 622, 1475, 848, 1873, 3538, 2142, 1120, 1759, 352, 1509, 239]"
67.0,126.2,6,5,"[735, 1102, 1119, 599, 5169, 603, 869, 2648, 3728, 87, 634, 777, 1143, 3972, 1308, 3156, 184, 283, 1428, 748, 159, 1494, 3046, 303, 988, 2960, 514, 1122, 636, 1784, 1126, 164, 1793, 643, 5147, 1533, 899, 734, 263, 776, 1545, 524, 2957, 1302, 1138, 410, 1093, 284, 545, 713, 740, 546, 2274, 1317, 4651, 3277, 52, 172, 558, 568, 214, 565, 2487, 1086, 1600, 716, 606]"
40.0,82.62,8,5,"[3376, 17, 4, 3718, 513, 777, 988, 5225, 599, 1134, 184, 1524, 903, 829, 1119, 4627, 180, 4372, 3833, 482, 553, 1816, 713, 740, 546, 2274, 1317, 4651, 3277, 52, 172, 558, 568, 214, 565, 2487, 1086, 1600, 716, 606]"
18.0,41.88,6,5,"[1341, 17, 1190, 3861, 861, 230, 699, 513, 599, 3592, 184, 777, 1134, 1524, 4071, 988, 180, 4372]"
32.0,68.59,7,5,"[1341, 17, 4391, 533, 1873, 230, 699, 513, 599, 988, 184, 3592, 524, 482, 654, 1100, 1780, 777, 3978, 13, 4367, 4651, 546, 1545, 4627, 410, 1317, 263, 209, 1086, 606, 180]"
6.0,16.01,5,3,"[4438, 3631, 3471, 184, 3833, 988]"
16.0,38.03,5,4,"[1341, 17, 1190, 533, 617, 143, 778, 1100, 1119, 4627, 184, 988, 3833, 482, 553, 1816]"
