measure,Hyperarea,GD
two-hop,0.3046593231036378,1.5911771618213097
page_rank,0.8651281236736719,0.31467910157737455
degree_centrality,0.8526878952335852,0.34928620085812684
katz_centrality,0.7856245603132347,0.5131059663966934
betweenness,0.8684948161374488,0.3051310826991536
closeness,0.806811217694664,0.4729589296796632
eigenvector_centrality,0.761544610589606,0.5762803684217016
core,0.7541267301344483,0.5922223471574364
