41021,41974,43318,55350,48455,19053,22934,20091,16692,3887
44063,46483,45968,43313,40827,44613,24553,40423,43095,29875
16120,37789,4145,3548,41412,40068,34180,17575,45490,41170
31296,31894,51309,27545,40740,41638,44984,47015,15474,15967
53377,29554,43080,54392,52000,16406,31030,31703,42714,54141
44972,18579,32576,34673,41410,25662,53573,42713,40071,45918
51880,21093,39853,21510,48228,27333,52387,47171,18265,23415
44229,28933,51908,49748,53542,36200,37850,39248,55270,44251
37391,35708,32662,25647,20338,26343,43299,36651,35586,36175
49106,33082,28390,32872,19440,22516,21906,29613,27099,45931
36540,32991,24685,18486,47135,32311,36990,45634,29572,29497
45525,47971,30945,30854,42147,32398,54630,47931,28318,28642
44692,43608,37549,37665,38125,47520,22967,21932,46627,40697
21822,15609,46586,37964,42219,27341,19889,21893,29024,20958
47361,30678,32017,34605,54659,42025,17320,23022,31530,36572
45593,43741,47730,54658,42580,30298,19751,19871,47312,31613
27010,42976,52711,42613,20643,21546,34353,50558,54269,28563
47680,38091,33510,31058,32283,35435,24356,27248,36978,43524
38127,36581,53079,23375,41498,28407,53570,25115,20286,22199
35594,43629,41677,30960,40193,21817,48359,37288,34577,33664
46426,41066,38921,18985,33893,22073,47012,29675,48798,47700
34427,44666,45625,46910,22269,21249,34554,47134,52739,40980
31905,22346,34626,22897,54858,53430,32872,28553,53606,51863
30658,49640,48072,52785,37673,32039,40444,25582,37360,20453
40002,18694,34587,17909,40401,39372,53729,42978,30547,24542
52819,28835,33170,40682,49919,44055,18557,21158,53322,22127
37263,31901,43002,36902,53577,52756,28666,22553,51915,39113
53229,35796,54666,53204,23325,28442,53741,27192,41309,32332
32325,22076,39400,39715,32156,26537,43370,41932,18611,19876
51865,21050,31436,30269,32657,51660,51859,44528,52419,36658
50649,36448,49147,49769,51930,48794,52064,21224,47745,18239
21694,18897,35486,55108,28659,43347,54442,52988,23512,24321
38186,35852,43216,21500,39335,42266,35853,30966,16552,21520
51023,42176,53472,22597,53512,44121,45198,35993,53030,32550
27870,21563,52292,33387,17966,18776,32639,18728,54603,53464
54968,22628,52007,37641,49989,53291,48148,31391,49918,36774
48424,30826,36622,54074,34087,31474,54200,47512,42832,45117
30122,44954,30819,23153,23200,46456,54635,52299,33364,17289
48892,25397,38149,46825,22920,24916,46888,46425,53499,53241
36291,35396,52231,26541,53001,19728,33460,37206,19691,25590
53295,38050,27464,24791,46414,47443,31438,37862,51477,37975
34567,48035,27189,27418,43860,34042,25773,25426,40773,51960
29615,31267,37733,47111,39557,39135,53376,53357,34283,33821
44190,54384,45375,43907,49118,20176,45439,27092,55379,18588
53537,49140,49952,32291,49982,42390,34813,32615,53239,34780
50461,33771,46993,47642,46813,19725,21726,22402,40229,25929
32256,17522,19922,23014,50664,22538,33811,40898,17952,24958
53326,50524,49864,33301,33076,22122,18192,29275,18298,19781
41955,46627,22211,38353,54089,40575,53200,39780,32866,32126
52085,33053,24157,21527,52360,22131,31176,33158,54715,49281
32888,27482,24439,52810,52736,25384,37783,41532,50928,18756
