generation,hv,influence_k,influence_comm,k_comm
1,0.05077447260518482,0.0896077234917028,0.07988209890697853,0.5335932125659253
2,0.05200540964186879,0.09080166645625554,0.07988209890697853,0.5393258426966292
3,0.05275456456201131,0.09129725483594947,0.08011235955056178,0.5445998624168769
4,0.05347069674143276,0.09154901176899663,0.08119735534663304,0.5502560574791715
5,0.054056355404174056,0.0920215601284911,0.08235572880837728,0.5538485056944126
6,0.054939816329679626,0.0926180757199568,0.08235572880837728,0.5603072689750057
7,0.055423432386883964,0.09331692126415017,0.08236385003439578,0.5650844607505924
8,0.056374453181516695,0.09447569049923553,0.08349843308109761,0.5742948864939234
9,0.05686037767798278,0.09461729719872632,0.08349843308109761,0.5784988152564396
10,0.05716518434163211,0.09467652793558613,0.08349843308109761,0.5812122601849729
11,0.057436775387678954,0.09479684804107225,0.08349843308109761,0.5830849193610028
12,0.05775318508079071,0.09500073643900177,0.08619468011923873,0.5847282733318045
13,0.05805917512820049,0.09531978986940479,0.08619630436444241,0.5857983642895361
14,0.058445498217803274,0.09559181640926369,0.08621560421921577,0.5877856760681801
15,0.05861779524333405,0.09586727966446434,0.08622210120003058,0.5879385462049989
16,0.05920019790098424,0.09603645022373718,0.08622210120003058,0.5929832607200183
17,0.05926887960503395,0.09614880977429897,0.08630570205610334,0.5929832607200183
18,0.059823922015045966,0.09685382737869795,0.08631239012458918,0.599136283726974
19,0.05990593369443893,0.09687532438384602,0.08631239012458918,0.5999770694794772
20,0.05996313439317569,0.09689135069926635,0.08631239012458918,0.6004738974241383
21,0.06003816600494508,0.09693599293018557,0.08631239012458918,0.601008942903004
22,0.06043103545756981,0.09707879195948882,0.08631239012458918,0.6041809982419934
23,0.06057265432369135,0.09715201503738302,0.08977317893449516,0.6051746541313155
24,0.06062884626560299,0.09719714822763677,0.08980337078651686,0.6054421768707483
25,0.060804746045200905,0.09719714822763677,0.08983977298784683,0.6072001834441643
26,0.06124357959739045,0.09723803812649916,0.08985076052893068,0.6109072842620195
27,0.0613563782201851,0.09728282063151394,0.08985076052893068,0.6119009401513414
28,0.0618441588435231,0.09744059392052068,0.08985076052893068,0.6155316059007874
29,0.06219209657098542,0.09744059392052068,0.08985076052893068,0.6190476190476192
30,0.06235375459361879,0.0974460295417245,0.08985964610563327,0.6206527554842163
31,0.06268627755777646,0.09746454572234144,0.08987646182068333,0.6240158984942292
32,0.06270695832513876,0.097468052574731,0.08987646182068333,0.6241305510968432
33,0.062824165562366,0.09751280001122191,0.08987646182068333,0.6250859894519606
34,0.06289898926788659,0.09755824881819074,0.08987646182068333,0.6256974699992357
35,0.06299575692331386,0.09757592335423416,0.08987646182068333,0.6266146908201483
36,0.06300646964167983,0.09758181486624863,0.08991439272338149,0.6266529083543529
37,0.0633178097860362,0.09768239139278148,0.08991439272338149,0.6292899182144769
38,0.06336205517008804,0.09772314101754827,0.08991439272338149,0.6294810058855004
39,0.06359657198737761,0.09774614596922385,0.08991439272338149,0.6316594053351678
40,0.06365168539325843,0.09774614596922385,0.09109999617824657,0.6321944508140335
41,0.06384846096415252,0.09778054819116552,0.09109999617824657,0.6338378047848353
42,0.06398974560577081,0.09778507203074807,0.09109999617824657,0.635366506153023
43,0.06437713005498458,0.09788610444809155,0.09109999617824657,0.6389207368340596
44,0.06452698000464335,0.09805453856836256,0.09109999617824657,0.639608652449744
45,0.06455644364803109,0.09805453856836256,0.09109999617824657,0.6399143927233816
46,0.06464929114346574,0.09805769473551317,0.09109999617824657,0.6407551784758847
47,0.06470131673003333,0.09807007392444834,0.09109999617824657,0.641099136283727
48,0.06480232481411534,0.09808161146881003,0.09110276694947643,0.6420545746388443
49,0.06513889640357255,0.09808161146881003,0.09110276694947643,0.6453412825804479
50,0.06609067618125816,0.09808161146881003,0.09223524803179699,0.6549721012000306
51,0.0661395277085711,0.09814431398953552,0.09223524803179699,0.6554307116104868
