generation,hv
1,0.20238571935206037
2,0.21145542306292864
3,0.21411051082586047
4,0.21504684067262653
5,0.21598399955784614
6,0.21661409181140295
7,0.2188168700113762
8,0.2198228390882419
9,0.2203636024484269
10,0.22142999921701922
11,0.22260175295575238
12,0.22316768684454147
13,0.22403709486502793
14,0.22463303534006696
15,0.22523229196892022
16,0.22560358605188854
17,0.2260126013844942
18,0.22645989065903954
19,0.2273283314679968
20,0.22751479603351157
21,0.2278547939148578
22,0.2287950156365864
23,0.22893424803909382
24,0.2293583472657852
25,0.22979716192502733
26,0.23040434047688138
27,0.23053740114867885
28,0.23091406095274944
29,0.23130522892975747
30,0.23159958363846558
31,0.2319343539717851
32,0.23204611296109512
33,0.2324072513230072
34,0.23264928449375694
35,0.23299566136542635
36,0.2333874511212745
37,0.23362151631133152
38,0.23393387957755885
39,0.23405035948028496
40,0.23421503875754765
41,0.23433640077561152
42,0.23464028942653567
43,0.23486981793394404
44,0.2350641813936136
45,0.2352608016801846
46,0.2354289122554912
47,0.23569943210865926
48,0.23583705249195136
49,0.2359306417218207
50,0.23596122402921896
51,0.23614884003703032
52,0.2362277598920407
53,0.2363740621502493
54,0.23644729388031438
55,0.23655746387925505
56,0.23663838724386155
57,0.23675968017538762
58,0.23677229998295857
59,0.23677665243483978
60,0.23681124176143029
61,0.23692949488529322
62,0.2371836642578493
63,0.23720954868067734
64,0.23730244704516876
65,0.23734852776587947
66,0.23749588935100105
67,0.23749717896637326
68,0.23752859031222504
69,0.23758054338864854
70,0.23764113228229675
71,0.2376894928587548
72,0.23780799929992305
73,0.23787540473196725
74,0.2379316411737342
75,0.23799252944237947
76,0.23806601448974984
77,0.2381062689124397
78,0.23820252948843718
79,0.23821904117097073
80,0.2382790313146247
81,0.23846296270708686
82,0.23851834708155437
83,0.23858904563856687
84,0.2387905019827836
85,0.23888441361649598
86,0.23891686126041478
87,0.23905337625910214
88,0.23914694246012555
89,0.239154634094667
90,0.239154634094667
91,0.23936654553493708
92,0.23950497192783685
93,0.2395784339463612
94,0.23964293774381792
95,0.23966654231089865
96,0.23975796682925032
97,0.23981459476139813
98,0.23985703692445157
99,0.23985703692445157
100,0.2400198508651937
101,0.24013365942179168
