n_nodes,influence,nodes,time,std
0.2131438721136769,11.07,"[1503, 1118, 1066, 2834, 1164, 1415]",12,63.38146101187633
0.9946714031971582,23.83,"[1503, 1118, 1415, 758, 474, 1712, 1849, 2834, 2304, 1164, 528, 2468, 492, 1686, 168, 1798, 2382, 2000, 226, 1461, 298, 1066, 2306, 1539, 116, 715, 2099, 1130]",12,67.00866809600083
2.1314387211367674,31.94,"[2367, 2685, 222, 462, 1415, 1712, 1849, 1676, 1425, 890, 1463, 492, 1451, 2468, 1636, 603, 758, 1637, 1991, 1686, 168, 641, 1409, 2099, 1550, 762, 474, 1539, 116, 1461, 2306, 1066, 1798, 262, 2184, 422, 1130, 715, 298, 2526, 1164, 2445, 2834, 2196, 1504, 226, 45, 302, 1328, 433, 1332, 571, 190, 500, 1118, 77, 2000, 2641, 91, 2666]",11,66.25203091226713
0.03552397868561252,1.69,[1451],7,33.95208977367962
0.46181172291296635,16.72,"[1482, 964, 1539, 1415, 2526, 168, 1066, 492, 2834, 2099, 1686, 474, 1118]",12,68.38209122277557
1.2433392539964476,26.13,"[2662, 777, 2834, 298, 1849, 1451, 1118, 758, 1425, 2304, 2526, 1686, 1063, 492, 116, 302, 168, 1461, 1636, 1689, 2468, 1539, 1415, 1164, 1550, 2196, 2099, 474, 1503, 1066, 1328, 1637, 1991, 1504, 762]",12,60.49569902067419
1.4564831261101245,27.56,"[2662, 1849, 2834, 959, 91, 418, 1118, 777, 758, 1328, 1686, 2685, 1425, 613, 2468, 1427, 1451, 139, 492, 433, 222, 2480, 385, 275, 168, 226, 850, 1066, 2099, 1503, 474, 344, 1798, 2306, 2196, 449, 1415, 1539, 1550, 2445, 1164]",12,77.58027842177418
1.349911190053286,26.69,"[2662, 1425, 777, 2834, 298, 1849, 2304, 758, 1118, 1451, 1063, 1689, 2468, 2526, 492, 116, 1550, 1637, 762, 190, 1686, 571, 1636, 302, 1409, 1461, 1539, 1415, 168, 1164, 2196, 1066, 1328, 2099, 1503, 474, 1991, 1742]",12,71.4059633364049
1.669626998223801,29.2,"[2662, 2304, 777, 2834, 298, 1849, 119, 758, 1118, 45, 2526, 1425, 1451, 1928, 116, 492, 1470, 691, 1636, 302, 715, 1461, 641, 2306, 1539, 262, 1686, 1798, 1415, 1164, 2445, 1550, 2196, 168, 762, 1066, 1328, 1503, 433, 1637, 2099, 1332, 1991, 474, 1504, 77, 1038]",11,62.39075572550792
1.1722912966252221,25.55,"[1503, 2670, 2445, 1712, 758, 1469, 2526, 1849, 45, 641, 1928, 578, 262, 1550, 1451, 106, 492, 1518, 2306, 2196, 1164, 890, 1539, 302, 1415, 1328, 1686, 2834, 168, 1066, 2099, 474, 1118]",11,62.82573994789078
0.31971580817051537,14.3,"[1000, 474, 492, 1686, 2099, 1066, 2834, 1164, 1118]",12,70.1340687540656
0.7460035523978685,20.93,"[2662, 2304, 777, 2834, 298, 1849, 119, 758, 1118, 1539, 1415, 2526, 2888, 1066, 1451, 492, 1164, 1503, 2099, 1686, 474]",12,63.956872969212625
0.07104795737122549,3.62,"[1465, 1118]",8,47.632761834686846
0.8170515097690942,21.82,"[2662, 2304, 777, 2834, 298, 408, 119, 758, 1118, 2526, 2888, 1503, 1328, 1539, 1415, 2196, 1066, 1451, 492, 1164, 2099, 474, 1686]",12,66.71617794808094
