n_nodes,influence,communities,time,nodes
2.0,125.86,4,11,"[1962, 97]"
7.0,398.52,8,17,"[1646, 2021, 44, 460, 2747, 1822, 838]"
3.0,206.9,7,16,"[2886, 2021, 838]"
20.0,698.87,10,19,"[1646, 2021, 2006, 1055, 2003, 501, 340, 838, 1904, 2015, 1755, 1110, 2747, 857, 1688, 22, 608, 1962, 34, 460]"
32.0,900.07,11,19,"[2085, 2021, 2456, 630, 1110, 2003, 1676, 2327, 2872, 2015, 501, 2056, 1889, 1904, 2710, 1219, 34, 838, 2747, 460, 2067, 322, 2077, 800, 736, 622, 633, 1893, 1738, 2803, 1361, 2011]"
46.0,993.52,11,21,"[2085, 2021, 2456, 857, 2003, 630, 1110, 2015, 1219, 34, 460, 1904, 1937, 2067, 322, 2077, 800, 2872, 2747, 1676, 622, 2710, 1727, 2056, 1893, 1738, 838, 2803, 1361, 736, 1889, 2011, 192, 2036, 668, 1962, 2051, 1965, 1668, 1416, 1898, 1742, 553, 1810, 1709, 1049]"
6.0,330.39,9,17,"[2021, 1822, 1841, 2872, 2747, 838]"
32.0,835.64,12,21,"[1962, 1055, 327, 838, 763, 1279, 1676, 2470, 2747, 800, 622, 1727, 1762, 670, 1738, 2139, 2021, 2803, 1361, 2011, 1917, 1294, 1022, 501, 736, 2872, 2056, 2085, 1666, 1717, 2710, 2006]"
19.0,569.14,12,19,"[7, 1055, 327, 838, 763, 1279, 1676, 2470, 2747, 1889, 736, 1762, 2085, 2021, 501, 2710, 2139, 1717, 2872]"
2.0,143.64,3,10,"[2362, 838]"
14.0,578.14,11,19,"[1646, 2021, 1624, 460, 2747, 1822, 1110, 2003, 613, 838, 1708, 2098, 2710, 2139]"
4.0,285.83,6,16,"[1917, 2021, 838, 460]"
27.0,654.94,13,20,"[2021, 1822, 1571, 2783, 1509, 2033, 1494, 501, 2432, 2139, 254, 838, 1666, 1762, 2747, 2056, 2710, 1676, 622, 1294, 670, 2872, 800, 378, 1717, 2803, 1917]"
20.0,671.44,11,19,"[7, 1055, 2892, 2003, 838, 501, 340, 2015, 1755, 2747, 1110, 857, 1688, 460, 34, 1904, 22, 608, 2021, 1962]"
13.0,503.13,12,19,"[2886, 2021, 838, 2003, 1110, 2872, 460, 1822, 1032, 613, 1708, 2139, 2710]"
4.0,203.23,8,16,"[2808, 2021, 838, 2872]"
9.0,451.3,9,19,"[1416, 2021, 838, 1644, 460, 1775, 2747, 1856, 2100]"
16.0,603.94,10,20,"[2886, 2021, 838, 2003, 1110, 327, 2598, 1279, 2747, 571, 2056, 1676, 608, 1904, 460, 501]"
20.0,657.62,12,20,"[2021, 1822, 2558, 2167, 1279, 630, 2747, 2056, 1110, 2015, 1676, 2470, 800, 622, 501, 838, 1727, 2710, 670, 2872]"
37.0,940.03,11,19,"[1935, 838, 536, 2101, 2006, 763, 929, 1055, 501, 1900, 2015, 2470, 1676, 1937, 2067, 2021, 736, 322, 2077, 1893, 955, 192, 2036, 668, 622, 2710, 2872, 489, 2056, 2803, 800, 2747, 460, 1962, 1346, 1769, 2011]"
13.0,581.62,10,18,"[1962, 1055, 2456, 838, 2015, 1631, 1676, 2003, 2747, 460, 2021, 501, 2710]"
8.0,479.07,8,18,"[2021, 1822, 2803, 460, 2747, 838, 554, 2011]"
12.0,606.21,9,19,"[2021, 1822, 2803, 2629, 460, 2747, 1110, 2003, 838, 501, 1708, 2098]"
16.0,606.91,9,21,"[2021, 1822, 2558, 2167, 1279, 630, 571, 2747, 608, 2056, 1110, 1904, 460, 1132, 838, 501]"
5.0,327.64,8,16,"[1935, 838, 1718, 2710, 2021]"
7.0,395.15,9,18,"[2886, 2021, 838, 665, 1822, 2747, 460]"
5.0,268.11,9,15,"[2820, 2021, 1718, 2710, 838]"
40.0,927.8,12,20,"[7, 1593, 2892, 472, 501, 340, 838, 2015, 1755, 1110, 857, 2747, 1688, 1937, 2067, 460, 322, 1904, 2077, 2036, 1727, 955, 192, 1893, 622, 2100, 1416, 1810, 2021, 34, 2803, 489, 2056, 2710, 1962, 668, 800, 2872, 1738, 2011]"
31.0,819.84,12,21,"[2021, 1822, 262, 327, 2872, 838, 2747, 763, 1279, 1676, 2470, 1762, 1889, 1916, 2710, 460, 34, 1904, 1198, 1937, 2067, 322, 2077, 800, 622, 1727, 2056, 1893, 1738, 2803, 1962]"
30.0,856.87,11,21,"[1416, 2021, 838, 1644, 1775, 1856, 460, 630, 1110, 2747, 2015, 1219, 34, 1904, 578, 2067, 322, 2077, 800, 1676, 2872, 622, 2710, 1727, 2056, 1893, 1738, 2803, 2425, 736]"
30.0,748.18,13,19,"[2085, 2021, 2783, 1822, 1509, 2033, 1494, 2139, 2432, 2710, 1762, 751, 1676, 501, 2872, 622, 1727, 2747, 670, 1738, 1717, 2803, 838, 1361, 2011, 1917, 736, 1294, 1022, 2056]"
12.0,478.45,11,19,"[1036, 2021, 838, 665, 1822, 2003, 2747, 613, 460, 1708, 2139, 2710]"
11.0,522.21,10,20,"[2021, 1822, 630, 1624, 2858, 1904, 838, 1110, 2015, 2747, 501]"
10.0,486.63,10,18,"[2021, 1822, 2803, 460, 554, 214, 2710, 838, 2747, 2872]"
34.0,907.36,12,21,"[2021, 1822, 2558, 2167, 1279, 630, 1755, 2747, 2015, 857, 1110, 608, 299, 1688, 460, 22, 955, 192, 501, 2036, 736, 838, 2011, 1738, 1676, 1917, 1294, 1727, 2803, 1361, 1717, 2710, 2872, 670]"
7.0,287.33,11,16,"[1480, 2021, 838, 2872, 1708, 2139, 2710]"
29.0,793.96,12,21,"[2886, 2021, 838, 2003, 1110, 2872, 1822, 1032, 460, 613, 1708, 2139, 608, 2710, 955, 1904, 192, 2036, 1819, 668, 622, 1962, 489, 2056, 2803, 800, 1346, 1738, 2011]"
18.0,541.43,13,18,"[7, 1055, 630, 1822, 2139, 2056, 838, 1676, 1509, 1788, 2747, 2585, 800, 1762, 2021, 622, 2710, 2872]"
43.0,979.19,12,20,"[2085, 2021, 2783, 1279, 1822, 630, 1755, 2015, 857, 1110, 608, 2710, 1688, 501, 460, 22, 2872, 955, 1727, 192, 2036, 2555, 1898, 2747, 1742, 2056, 670, 1917, 1676, 1294, 1049, 800, 2803, 1962, 1592, 1709, 1738, 1717, 1361, 2088, 736, 838, 2011]"
5.0,340.03,7,15,"[2021, 1458, 2803, 2710, 838]"
9.0,412.2,10,19,"[2021, 1822, 1624, 630, 2717, 2139, 2710, 1904, 838]"
8.0,392.13,11,16,"[2820, 2021, 1708, 460, 838, 2710, 2758, 2139]"
26.0,719.95,12,21,"[1036, 2021, 838, 665, 1822, 2003, 47, 2747, 460, 1708, 2872, 622, 2139, 1727, 2710, 670, 1738, 1717, 2803, 1361, 2011, 1917, 736, 1294, 1022, 2056]"
18.0,551.54,12,20,"[2820, 2021, 1055, 630, 838, 2710, 1822, 2139, 2056, 1676, 1509, 2669, 2747, 2585, 800, 1762, 622, 2872]"
4.0,282.52,7,14,"[185, 2021, 838, 2710]"
11.0,544.82,9,18,"[1080, 2021, 1279, 2033, 460, 1110, 2015, 1822, 501, 2747, 838]"
37.0,851.99,13,19,"[2021, 1822, 2558, 2167, 1279, 630, 1494, 2139, 2747, 2767, 1762, 2056, 2710, 751, 460, 1142, 1676, 501, 2872, 838, 1727, 670, 322, 2077, 1893, 955, 192, 1418, 668, 2803, 622, 489, 800, 1962, 1346, 1769, 2011]"
17.0,645.2,11,20,"[2886, 2021, 838, 1274, 1822, 2803, 489, 2747, 460, 2056, 2710, 1962, 668, 800, 2872, 1738, 2011]"
27.0,749.73,12,20,"[1962, 1055, 327, 763, 838, 1279, 1676, 2470, 800, 2747, 1727, 1762, 622, 670, 699, 2139, 1361, 2011, 1917, 2803, 1294, 2021, 1022, 145, 501, 2710, 2872]"
22.0,703.36,12,20,"[2820, 2021, 1279, 2033, 460, 1906, 2710, 1822, 2139, 838, 2470, 857, 844, 1509, 2009, 1859, 442, 2116, 2615, 2803, 1666, 2747]"
43.0,906.87,13,22,"[2021, 1822, 2783, 1279, 1509, 460, 1410, 1835, 758, 1962, 1676, 1494, 2139, 501, 2747, 1666, 1727, 622, 2051, 670, 2710, 1762, 838, 2872, 800, 2803, 1138, 1668, 1416, 1759, 1898, 2729, 1917, 1738, 553, 307, 736, 2011, 1361, 1709, 1049, 1717, 1294]"
22.0,762.4,11,20,"[2021, 1822, 2558, 2167, 1279, 630, 2845, 1110, 2747, 2015, 1676, 800, 622, 501, 2470, 442, 2116, 2615, 2803, 838, 2710, 1666]"
20.0,620.11,13,19,"[2820, 2021, 1279, 2258, 460, 1906, 2139, 2710, 1822, 857, 844, 1509, 838, 2470, 2009, 1859, 1727, 670, 2872, 2747]"
37.0,907.99,12,20,"[2820, 2021, 1055, 630, 838, 2710, 1822, 2139, 1676, 2056, 1509, 2669, 2747, 2585, 1762, 460, 322, 1904, 2872, 1256, 2077, 800, 2036, 1727, 955, 192, 1893, 2100, 1416, 1810, 34, 2803, 489, 1962, 668, 1738, 2011]"
8.0,393.26,10,16,"[2021, 1822, 1708, 355, 460, 2139, 2710, 838]"
18.0,653.1,11,19,"[1646, 2021, 503, 460, 2747, 1822, 2003, 613, 1110, 1708, 2139, 2803, 1361, 1717, 2710, 838, 490, 670]"
25.0,856.28,11,19,"[2021, 1822, 2558, 2167, 1279, 630, 1755, 2747, 2015, 299, 857, 340, 34, 1110, 32, 1904, 608, 1688, 838, 460, 22, 411, 2803, 501, 2710]"
3.0,228.06,6,14,"[2021, 1301, 838]"
13.0,561.18,11,18,"[1036, 2021, 838, 503, 1822, 1110, 2003, 2747, 2783, 460, 1708, 2710, 2139]"
