n_nodes,influence,communities,time,nodes
7.0,336.52,9,11,"[2747, 2813, 2710, 838, 1599, 1279, 1822]"
10.0,403.62,11,11,"[2747, 2869, 1453, 630, 1822, 838, 1599, 2512, 2710, 1279]"
39.0,729.68,13,12,"[2747, 1279, 670, 838, 2092, 465, 1599, 1453, 2398, 1763, 2670, 1652, 1794, 1798, 536, 2443, 1934, 2144, 489, 1869, 2361, 2303, 1939, 2710, 22, 1979, 1686, 2077, 1822, 929, 509, 2087, 2858, 1718, 325, 1128, 460, 2554, 83]"
9.0,341.12,11,12,"[2747, 1822, 1599, 838, 1074, 2710, 1652, 1279, 2406]"
19.0,438.56,13,13,"[2747, 2869, 2710, 1599, 670, 1326, 22, 1033, 511, 2400, 2431, 1279, 1822, 1532, 2055, 1708, 460, 83, 1459]"
13.0,444.64,12,11,"[2747, 630, 2869, 1453, 1648, 1934, 1822, 838, 56, 1599, 2858, 2710, 1279]"
31.0,677.34,13,13,"[2747, 1652, 1586, 2710, 1599, 1763, 670, 460, 1805, 1296, 2144, 1840, 1279, 2382, 1794, 17, 1962, 22, 1869, 536, 489, 838, 466, 1979, 1822, 929, 2087, 83, 2858, 1453, 1718]"
24.0,652.78,13,13,"[2747, 670, 1279, 630, 838, 1905, 1599, 278, 2541, 1453, 1840, 1962, 2144, 1652, 929, 1763, 489, 2858, 460, 83, 2710, 22, 1979, 1822]"
12.0,414.66,12,12,"[2747, 1971, 1453, 2076, 1652, 2710, 1599, 838, 481, 2858, 1279, 1822]"
17.0,544.0,12,12,"[2747, 670, 1279, 630, 1905, 1599, 838, 11, 1648, 1189, 2144, 489, 2858, 460, 83, 2710, 1822]"
31.0,693.32,12,13,"[2747, 2733, 471, 2114, 1453, 630, 1599, 2531, 1840, 17, 1962, 2710, 1279, 536, 1794, 22, 460, 1822, 929, 83, 1652, 2087, 2858, 1718, 1979, 2382, 838, 466, 2144, 1869, 489]"
33.0,695.58,13,13,"[2747, 1652, 1586, 1763, 670, 1599, 2710, 1805, 460, 1296, 909, 2144, 1279, 723, 2554, 2109, 2382, 509, 1794, 22, 536, 1822, 489, 1869, 929, 2087, 466, 2858, 1453, 838, 1718, 83, 1979]"
42.0,737.26,13,12,"[2747, 670, 630, 1905, 1279, 278, 1599, 838, 2541, 60, 1951, 2077, 1453, 1863, 2443, 1962, 1652, 2554, 832, 1725, 2144, 2670, 2858, 2710, 22, 83, 460, 489, 929, 1763, 1822, 1869, 2303, 536, 2101, 509, 1979, 2087, 1794, 1934, 1939, 1686]"
