generation,hv,influence_k,influence_comm,k_comm
1,0.6241725261533185,0.6925055736580347,0.6883017492711371,0.8480392156862745
2,0.6532848853827246,0.6968273023495113,0.7492832847424684,0.8823529411764706
3,0.6592894300577374,0.6994169096209913,0.7496963070942663,0.8872549019607844
4,0.6770693991882467,0.7026324815640541,0.7538508260447035,0.9068627450980392
5,0.679179528954439,0.7045961241639513,0.7543974732750243,0.9068627450980392
6,0.6798326473446521,0.7053335619962271,0.7556000971817298,0.9068627450980392
7,0.6799898530840909,0.7055050591665238,0.7556000971817298,0.9068627450980392
8,0.6811345966958211,0.7067226890756302,0.7573858114674441,0.9068627450980392
9,0.6814811638941289,0.7069970845481048,0.7576166180758018,0.9068627450980392
10,0.6816962499285428,0.7071600068598868,0.757689504373178,0.9068627450980392
11,0.6819849368318756,0.7075030012004802,0.7596938775510202,0.9068627450980392
12,0.6819849368318756,0.7075030012004802,0.7596938775510202,0.9068627450980392
13,0.6820792602755388,0.7076058995026583,0.7596938775510202,0.9068627450980392
14,0.6860194077631052,0.7080517921454297,0.7596938775510202,0.9117647058823529
15,0.6867904304578976,0.708866403704339,0.7596938775510202,0.9117647058823529
16,0.6869869376321956,0.7090807751672097,0.7596938775510202,0.9117647058823529
17,0.6943863259589549,0.7091836734693877,0.7599003887269193,0.9215686274509803
18,0.6943863259589549,0.7091836734693877,0.7599003887269193,0.9215686274509803
19,0.6947321785857199,0.7095609672440404,0.7599003887269193,0.9215686274509803
20,0.6947321785857199,0.7095609672440404,0.7599003887269193,0.9215686274509803
21,0.6949208254730463,0.7097667638483964,0.7599003887269193,0.9215686274509803
22,0.6949208254730463,0.7097667638483964,0.7599003887269193,0.9215686274509803
23,0.6949215400445893,0.7097667638483964,0.7599003887269193,0.9215686274509803
24,0.6949215400445893,0.7097667638483964,0.7599003887269193,0.9215686274509803
25,0.6953302749671296,0.7102126564911678,0.7599003887269193,0.9215686274509803
26,0.6953302749671296,0.7102126564911678,0.7599003887269193,0.9215686274509803
27,0.6963606871319955,0.7112330646544331,0.760932944606414,0.9215686274509803
28,0.696505030583662,0.7112330646544331,0.760932944606414,0.9215686274509803
29,0.696599354027325,0.7113359629566112,0.760932944606414,0.9215686274509803
30,0.696606499742754,0.7113359629566112,0.760932944606414,0.9215686274509803
31,0.696606499742754,0.7113359629566112,0.760932944606414,0.9215686274509803
32,0.6966929628994454,0.7114302864002744,0.760932944606414,0.9215686274509803
33,0.6966929628994454,0.7114302864002744,0.760932944606414,0.9215686274509803
34,0.7003387069113358,0.7114302864002744,0.760932944606414,0.9264705882352942
35,0.7004015892071114,0.7114988852683931,0.760932944606414,0.9264705882352942
36,0.7004065912079118,0.7114988852683931,0.760932944606414,0.9264705882352942
37,0.7004065912079118,0.7114988852683931,0.760932944606414,0.9264705882352942
38,0.7004759046475733,0.7114988852683931,0.760932944606414,0.9264705882352942
39,0.7004759046475733,0.7114988852683931,0.760932944606414,0.9264705882352942
40,0.7004837649345451,0.7115074601269078,0.760932944606414,0.9264705882352942
41,0.7005252100840335,0.7115074601269078,0.760932944606414,0.9264705882352942
42,0.7005780883782081,0.7115246098439374,0.760932944606414,0.9264705882352942
43,0.7005780883782081,0.7115246098439374,0.760932944606414,0.9264705882352942
44,0.7005780883782081,0.7115246098439374,0.7650145772594752,0.9264705882352942
45,0.7005780883782081,0.7115246098439374,0.7650145772594752,0.9264705882352942
46,0.701058280455039,0.7120048019207681,0.7650145772594752,0.9264705882352942
47,0.7010632824558393,0.7120048019207681,0.7650145772594752,0.9264705882352942
48,0.7010632824558393,0.7120048019207681,0.7650145772594752,0.9264705882352942
49,0.7010632824558393,0.7120048019207681,0.7650145772594752,0.9264705882352942
50,0.7010632824558393,0.7120048019207681,0.7650145772594752,0.9264705882352942
51,0.7010632824558393,0.7120048019207681,0.7650145772594752,0.9264705882352942
