n_nodes,influence,nodes,time,std
0.4810004810004811,7.45,"[374, 1177, 1037, 1931, 622, 596, 1286, 398, 1356, 341]",15,70.06340271496953
0.8177008177008178,10.01,"[1952, 504, 744, 1650, 596, 780, 33, 618, 129, 34, 1060, 1313, 985, 1178, 1284, 1080, 426]",17,75.75719371782458
0.24050024050024055,4.93,"[328, 1276, 1709, 767, 889]",12,71.82238091291599
1.1063011063011066,11.94,"[328, 1177, 1037, 1931, 586, 481, 516, 1426, 1774, 489, 593, 194, 980, 396, 1642, 1363, 72, 1220, 1122, 2022, 552, 1329, 192]",17,66.33171488812874
0.0962000962000964,2.27,"[328, 980]",7,20.546036114053727
0.913900913900914,10.41,"[374, 1177, 732, 1931, 95, 819, 695, 631, 33, 1775, 310, 456, 1220, 225, 1608, 1227, 1232, 991, 1064]",17,78.43649405729452
1.0582010582010584,11.67,"[1952, 504, 819, 95, 1177, 695, 225, 926, 661, 194, 1709, 1774, 1142, 320, 523, 1080, 2016, 240, 489, 1368, 396, 192]",17,80.15131689498308
2.308802308802309,18.62,"[1952, 504, 744, 1650, 596, 780, 33, 618, 129, 34, 1060, 1313, 985, 689, 1064, 390, 1056, 426, 1948, 980, 516, 194, 489, 1372, 1329, 8, 348, 657, 990, 240, 540, 766, 100, 558, 396, 1825, 1108, 1978, 1227, 1232, 1363, 772, 1220, 552, 1608, 691, 523, 1360]",15,64.54355428700839
1.491101491101491,14.77,"[1947, 504, 1198, 1931, 1962, 225, 819, 82, 516, 371, 352, 120, 2034, 779, 993, 396, 1201, 558, 1786, 281, 240, 1142, 990, 766, 374, 589, 1064, 1085, 2054, 192, 1122]",17,66.9500141896923
1.9721019721019721,17.44,"[328, 1276, 504, 95, 1177, 819, 695, 631, 33, 1775, 310, 1064, 961, 323, 225, 1608, 1227, 1232, 407, 1853, 676, 1069, 978, 752, 748, 431, 1585, 444, 357, 852, 2054, 1737, 548, 1873, 990, 426, 1108, 558, 1978, 1363, 396]",17,70.52485802892481
1.6835016835016836,16.05,"[328, 1276, 504, 95, 631, 1177, 33, 1775, 819, 695, 516, 523, 207, 1709, 1142, 320, 779, 1080, 489, 225, 1368, 1175, 1232, 2009, 1405, 1220, 733, 1122, 2022, 1602, 426, 396, 558, 1363, 990]",17,65.42065728804627
1.2506012506012507,13.09,"[1952, 504, 926, 95, 819, 1177, 1005, 194, 695, 1709, 310, 1064, 961, 225, 1227, 1232, 811, 208, 82, 434, 1905, 499, 1663, 240, 1220, 1608]",18,77.20746336980642
1.2025012025012025,12.93,"[328, 1177, 1037, 1931, 586, 481, 1426, 516, 593, 1774, 243, 489, 1708, 695, 707, 396, 1363, 194, 1142, 1227, 815, 240, 1232, 1329, 1709]",17,62.6927140902354
1.9240019240019242,17.18,"[1952, 504, 819, 95, 1177, 225, 695, 926, 1597, 194, 1709, 1774, 1142, 320, 516, 523, 240, 779, 1080, 1368, 396, 243, 990, 664, 752, 1546, 1363, 1663, 1360, 489, 772, 1220, 100, 426, 1608, 1045, 766, 691, 1108, 1978]",16,61.19836599125829
