influence,nodes,comm
415.5,2.0,4
407.6,1.0,3
468.1,4.0,5
481.9,5.0,4
467.7,2.0,3
405.7,3.0,5
485.8,8.0,7
517.7,20.0,6
450.3,6.0,7
469.9,5.0,6
478.2,5.0,5
484.1,6.0,6
516.7,20.0,7
508.7,12.0,6
510.5,16.0,7
500.2,9.0,6
501.0,11.0,6
514.7,16.0,6
469.2,3.0,4
511.2,15.0,6
496.5,11.0,7
506.5,12.0,7
509.6,15.0,7
493.6,9.0,7
517.3,19.0,6
484.6,7.0,7
515.0,19.0,7
501.0,11.0,6
497.1,7.0,6
476.0,4.0,4
491.5,6.0,5
