n_nodes,influence,time,nodes
1.0,947.32,7,[576]
4.0,956.44,7,"[929, 129, 997, 144]"
18.0,959.3,7,"[149, 129, 937, 426, 231, 903, 441, 653, 110, 430, 777, 729, 826, 813, 526, 922, 146, 932]"
10.0,958.2,7,"[149, 129, 867, 133, 655, 148, 616, 356, 170, 91]"
6.0,956.5,7,"[663, 129, 384, 655, 144, 149]"
7.0,957.36,7,"[149, 129, 867, 133, 655, 589, 146]"
2.0,952.44,7,"[445, 133]"
3.0,954.36,7,"[149, 129, 501]"
36.0,959.42,7,"[929, 129, 948, 168, 144, 651, 616, 417, 170, 7, 97, 9, 394, 146, 526, 56, 699, 956, 127, 194, 710, 333, 425, 569, 601, 477, 606, 141, 864, 106, 1003, 365, 496, 887, 504, 866]"
38.0,960.44,7,"[111, 129, 900, 152, 593, 149, 712, 458, 751, 794, 9, 651, 394, 526, 146, 417, 97, 56, 699, 956, 575, 32, 710, 333, 141, 425, 569, 601, 477, 606, 864, 106, 1003, 365, 496, 887, 504, 866]"
