n_nodes,influence,communities,time,nodes,std
2.0,352.8,5,18,"[386, 673]",107.92664175262752
1.0,228.9,4,14,[641],160.85819842333186
14.0,466.6,7,21,"[645, 203, 912, 404, 1037, 762, 560, 561, 181, 563, 378, 200, 951, 172]",79.26033055696904
20.0,486.9,7,23,"[645, 434, 755, 404, 286, 852, 819, 468, 85, 989, 53, 912, 37, 46, 562, 181, 817, 951, 698, 445]",66.43944611448833
1.0,270.3,3,18,[275],168.79928909802908
29.0,499.5,7,16,"[645, 434, 755, 404, 286, 819, 852, 606, 984, 817, 859, 870, 474, 635, 912, 126, 1016, 181, 698, 445, 951, 562, 875, 293, 37, 161, 46, 545, 863]",34.15611219093883
35.0,509.6,7,16,"[645, 720, 434, 755, 1037, 172, 560, 965, 815, 855, 875, 1016, 46, 317, 951, 863, 979, 1012, 445, 817, 124, 545, 37, 871, 873, 635, 843, 608, 675, 859, 886, 293, 870, 959, 51]",87.425453959359
10.0,449.9,6,18,"[645, 270, 590, 21, 170, 559, 84, 562, 697, 574]",66.5811534895574
7.0,434.6,6,20,"[645, 720, 434, 252, 29, 923, 567]",72.87667665309664
12.0,458.5,6,19,"[645, 270, 861, 404, 475, 84, 697, 984, 474, 912, 46, 155]",39.039595284787474
5.0,413.3,5,19,"[645, 190, 755, 286, 855]",102.89708450680224
23.0,489.3,7,17,"[645, 434, 404, 1008, 286, 1015, 912, 438, 716, 538, 209, 975, 317, 979, 181, 1012, 817, 559, 89, 859, 870, 875, 1016]",56.838719197392194
8.0,416.2,7,19,"[786, 434, 755, 404, 313, 172, 1025, 967]",110.01545345995716
36.0,513.8,6,16,"[645, 270, 861, 404, 475, 756, 697, 984, 474, 147, 863, 875, 912, 606, 293, 46, 562, 181, 698, 124, 37, 951, 350, 445, 738, 871, 873, 545, 843, 365, 496, 493, 817, 870, 635, 608]",32.0482448817404
25.0,498.7,7,17,"[645, 720, 434, 755, 1037, 172, 560, 965, 815, 855, 875, 1016, 317, 649, 951, 46, 979, 1012, 445, 817, 124, 545, 293, 37, 859]",25.51156600446158
18.0,476.9,7,20,"[645, 270, 108, 720, 1037, 172, 560, 965, 310, 489, 855, 817, 559, 89, 859, 870, 875, 1016]",44.00738574375897
2.0,356.5,4,18,"[645, 279]",131.85992567872924
24.0,492.0,7,16,"[645, 270, 433, 778, 1037, 560, 172, 965, 815, 855, 407, 147, 51, 46, 608, 545, 808, 871, 873, 875, 493, 365, 124, 350]",75.23436714693625
31.0,500.3,7,18,"[645, 270, 590, 21, 170, 559, 819, 984, 562, 474, 606, 89, 859, 871, 181, 873, 951, 828, 912, 843, 365, 496, 493, 870, 37, 732, 635, 293, 608, 126, 1016]",31.5442546274278
13.0,463.6,6,17,"[645, 270, 327, 475, 404, 84, 697, 984, 474, 155, 46, 445, 912]",117.67089699666609
3.0,406.8,5,19,"[637, 310, 89]",117.31172149448665
7.0,392.7,7,18,"[1025, 461, 981, 411, 29, 923, 567]",129.5925923808919
8.0,441.3,6,18,"[645, 270, 861, 404, 8, 84, 697, 984]",47.09097578092856
5.0,412.6,6,21,"[645, 1008, 434, 338, 734]",89.13158811554969
36.0,510.7,7,15,"[645, 434, 404, 1008, 286, 1015, 438, 912, 716, 538, 590, 353, 317, 979, 181, 1012, 559, 89, 817, 859, 1016, 198, 327, 73, 870, 875, 458, 97, 545, 843, 365, 496, 493, 635, 608, 37]",34.5318693383373
38.0,523.5,7,14,"[645, 203, 912, 404, 1037, 762, 560, 561, 181, 984, 474, 46, 951, 37, 562, 606, 147, 863, 875, 293, 698, 124, 445, 350, 817, 738, 871, 873, 545, 843, 365, 496, 493, 931, 635, 608, 126, 1016]",24.282709898197112
12.0,450.0,7,21,"[891, 434, 1008, 338, 475, 84, 697, 984, 912, 474, 219, 155]",118.01288065291855
18.0,477.6,6,20,"[645, 203, 184, 404, 762, 1037, 310, 489, 560, 855, 817, 559, 89, 859, 172, 870, 875, 1016]",92.70302044701673
33.0,506.4,7,16,"[645, 270, 861, 756, 404, 475, 356, 545, 697, 984, 863, 875, 474, 1016, 126, 912, 31, 147, 293, 608, 37, 46, 562, 181, 870, 871, 951, 873, 365, 493, 496, 635, 843]",24.8145118831703
32.0,503.6,7,16,"[645, 270, 590, 21, 170, 559, 819, 438, 716, 538, 209, 89, 859, 353, 317, 979, 181, 1012, 817, 875, 198, 912, 327, 73, 458, 97, 731, 832, 870, 40, 37, 1016]",30.714817271147812
11.0,445.1,7,20,"[645, 270, 590, 21, 170, 559, 819, 984, 1001, 912, 474]",79.98274813983325
13.0,461.6,7,20,"[645, 1008, 327, 404, 475, 84, 155, 81, 46, 984, 474, 445, 912]",63.367894078941895
27.0,499.2,7,17,"[645, 270, 590, 21, 170, 559, 84, 697, 574, 562, 951, 181, 828, 843, 930, 89, 859, 496, 493, 732, 1016, 635, 870, 293, 608, 603, 37]",50.24101909794426
9.0,443.2,7,22,"[645, 270, 590, 21, 414, 559, 819, 984, 1001]",73.01403974579137
4.0,374.1,6,20,"[770, 812, 83, 326]",124.33861025441776
30.0,501.3,6,17,"[645, 434, 861, 404, 84, 475, 155, 550, 984, 124, 350, 817, 738, 850, 871, 474, 870, 873, 843, 445, 698, 912, 365, 496, 951, 493, 608, 545, 37, 46]",34.14805997417716
