n_nodes,influence,nodes,time,std
0.7736943907156675,8.86,"[1, 328, 198, 442]",8,25.73663536672966
1.353965183752418,13.32,"[120, 55, 187, 280, 282, 133, 326]",9,29.792106337081975
0.9671179883945844,10.65,"[55, 328, 220, 282, 187]",8,22.910399385431933
0.5802707930367508,7.79,"[326, 276, 1]",7,20.48043944841028
2.1276595744680855,18.65,"[326, 276, 198, 442, 53, 30, 415, 85, 392, 282, 187]",10,26.199572515596508
1.9342359767891686,16.52,"[120, 145, 92, 326, 8, 280, 282, 30, 187, 440]",10,28.190523230333984
1.547388781431335,15.04,"[120, 68, 326, 55, 280, 282, 193, 440]",10,23.555220228221174
0.38684719535783385,4.68,"[1, 378]",5,11.669190203266036
1.160541586073501,12.6,"[120, 187, 55, 326, 280, 282]",9,24.77438192972733
1.7408123791102517,16.05,"[120, 442, 55, 280, 282, 209, 440, 86, 326]",10,24.39832781155299
0.19342359767891715,2.59,[201],3,11.874763155532829
