n_nodes,influence,nodes
0.9689922480620154,18.12,"[116, 1526, 462, 1233, 1031, 921, 1249, 184, 275, 996, 1670, 1230, 789, 407, 1309, 537, 1006, 1809, 751, 48]"
1.8410852713178294,27.69,"[116, 1526, 1286, 1871, 356, 1670, 1678, 1249, 1031, 751, 1214, 655, 1809, 275, 148, 921, 1610, 870, 1006, 1046, 407, 1309, 1905, 789, 996, 537, 48, 1440, 676, 218, 1583, 433, 184, 587, 1230, 316, 1103, 462]"
1.5988372093023255,25.3,"[116, 1526, 444, 1905, 1153, 921, 316, 2263, 659, 2301, 1583, 462, 1309, 275, 1670, 1031, 1809, 184, 789, 751, 1046, 407, 537, 48, 433, 587, 1230, 1103, 218, 1249, 996, 870, 1006]"
1.3081395348837208,22.51,"[116, 1526, 1153, 789, 462, 1670, 659, 1031, 1809, 48, 847, 407, 537, 921, 1309, 433, 184, 996, 316, 587, 1230, 1103, 218, 1249, 870, 751, 1006]"
1.2112403100775193,21.37,"[116, 1526, 275, 184, 789, 1006, 1809, 1309, 659, 921, 996, 870, 1670, 1031, 48, 433, 751, 407, 1249, 537, 587, 2071, 1230, 1103, 218]"
0.9205426356589146,17.62,"[116, 367, 462, 659, 587, 921, 1031, 1103, 184, 1249, 996, 275, 1670, 1006, 1309, 789, 407, 1230, 1809]"
2.3255813953488373,31.17,"[116, 1526, 1738, 270, 1286, 1871, 604, 316, 1583, 1905, 48, 1932, 2061, 1249, 655, 751, 1395, 659, 1031, 1670, 356, 1809, 275, 148, 789, 157, 407, 1214, 870, 1006, 1046, 537, 1992, 921, 1309, 1440, 699, 433, 184, 587, 1230, 996, 1103, 218, 462, 1610, 676, 266]"
0.6298449612403099,13.23,"[116, 655, 1905, 1249, 1670, 996, 587, 1031, 462, 1230, 275, 407, 537]"
1.88953488372093,27.92,"[116, 1526, 1738, 699, 1153, 1905, 1968, 655, 1440, 48, 1871, 462, 356, 1610, 1670, 789, 1031, 996, 1809, 275, 148, 1046, 407, 537, 921, 751, 1309, 676, 1583, 433, 184, 316, 587, 870, 1230, 1103, 218, 1249, 1006]"
2.083333333333333,29.48,"[116, 1526, 1286, 1871, 1992, 659, 2061, 1670, 1395, 1249, 2207, 751, 1031, 48, 356, 1214, 1809, 275, 148, 789, 1046, 870, 1006, 407, 537, 1905, 921, 157, 1610, 1309, 1440, 676, 1583, 996, 433, 184, 699, 316, 587, 462, 218, 1103, 1230]"
1.937984496124031,28.32,"[116, 0, 1526, 218, 1871, 1395, 1046, 655, 587, 1113, 1670, 1031, 1583, 1932, 433, 1809, 1905, 659, 751, 275, 148, 789, 407, 537, 316, 1249, 921, 870, 1309, 1440, 53, 996, 48, 184, 1214, 356, 462, 1006, 1103, 1230]"
2.2771317829457365,30.65,"[116, 1526, 1286, 1252, 676, 1752, 699, 1670, 1214, 1395, 1031, 270, 1932, 1992, 1249, 157, 751, 1905, 2061, 558, 655, 1809, 659, 148, 275, 1046, 407, 789, 537, 356, 921, 1309, 870, 1006, 1440, 1583, 48, 433, 184, 1610, 587, 1230, 1871, 1103, 462, 218, 996]"
1.501937984496124,24.65,"[116, 1309, 659, 1526, 275, 655, 316, 1932, 1670, 148, 1031, 1809, 1046, 587, 789, 218, 407, 537, 921, 1230, 1440, 433, 454, 48, 1103, 751, 1249, 462, 996, 870, 1006]"
0.38759689922480645,8.93,"[116, 433, 996, 1670, 275, 365, 537, 407]"
2.131782945736434,29.74,"[116, 655, 1309, 1526, 1932, 659, 1992, 1214, 316, 275, 356, 2061, 1395, 148, 2301, 587, 1670, 218, 1046, 1610, 789, 1031, 1230, 1809, 537, 921, 1440, 751, 1103, 1249, 433, 996, 870, 1006, 407, 462, 1905, 48, 157, 676, 1583, 184, 699, 236]"
0.14534883720930214,4.28,"[116, 218, 407]"
0.4844961240310077,10.8,"[116, 870, 921, 996, 1670, 275, 1031, 407, 537, 462]"
0.3391472868217056,7.9,"[116, 771, 537, 1809, 275, 996, 407]"
