generation,hv
1,0.05380310137999529
2,0.055083818293743224
3,0.05678584985213203
4,0.05731308861607001
5,0.0583897146084672
6,0.0595702815123784
7,0.060192663678104746
8,0.06066496857805585
9,0.06189168472707886
10,0.06230087205612634
11,0.062487877642426054
12,0.06281747785153548
13,0.06300811171647427
14,0.06319564681925201
15,0.06336753441262143
16,0.06367185963013966
17,0.06416225931790345
18,0.06461668758289808
19,0.06469528309894462
20,0.06533257204597234
21,0.06558203281177613
22,0.06604995680573449
23,0.06624037152621323
24,0.06676504401927995
25,0.06705125362530383
26,0.06737413472644424
27,0.06758856609317586
28,0.06771085266828707
29,0.06783466829659902
30,0.06801671487183716
31,0.06858185471971719
32,0.06882374359820524
33,0.06898481279311808
34,0.0694878772457845
35,0.06983509924765027
36,0.07025704554397012
37,0.07036405051150893
38,0.07053364452507728
39,0.07080392996420706
40,0.07100055014183902
41,0.07154687529748117
42,0.07188828749214649
43,0.07215537600033002
44,0.07222991089844072
45,0.07230227418402897
46,0.07241674692047495
47,0.07261800185469591
48,0.07275878184238414
49,0.07312326965120929
50,0.07326178878202484
51,0.07340350087737113
52,0.0736419935125307
53,0.07371196009151315
54,0.0739365841546458
55,0.07415207157952186
56,0.07434434456569335
57,0.0744180891555025
58,0.07464880464134084
59,0.07472982165409046
60,0.07482625711574953
61,0.07490684575561801
62,0.07497393271689944
63,0.0751386202744125
64,0.07538491187417895
65,0.0754729623333312
66,0.07549962953678613
67,0.07550338474072336
68,0.07559926787901482
69,0.07567392573600805
70,0.07575268585830058
71,0.07636212660163856
72,0.0765120610764534
73,0.07654079874883384
74,0.0767099237337615
75,0.07690429892018298
76,0.07701914053327662
77,0.0770638737680313
78,0.07709937517055584
79,0.07714285005997218
80,0.0771786043214891
81,0.0773736508237452
82,0.07744261191638159
83,0.07745492565350665
84,0.07746780857126538
85,0.07759380671974259
86,0.07779294656286291
87,0.07779664524537831
88,0.07780758461950968
89,0.07781354515050166
90,0.0778141976258623
91,0.07786965703991164
92,0.07796123760891778
93,0.07812785978562317
94,0.07814180471114976
95,0.07823526932754975
96,0.07829234803075401
97,0.07836090653221045
98,0.07840890412697607
99,0.07842480945339621
100,0.07846764079188694
101,0.0784869621937134
102,0.07890945585538132
103,0.0789128967208849
104,0.07896994170955686
105,0.07899527024775818
106,0.07911866246120845
107,0.07919131529513304
108,0.07956876435842435
109,0.07970797959517177
110,0.07975796932215544
111,0.0797762733383892
112,0.07978133349304768
113,0.08001649830554727
114,0.08004295528897717
115,0.08009336049799141
116,0.08009659610148948
117,0.08010974476909115
118,0.08015135048517197
119,0.0801544611465797
120,0.0801544611465797
121,0.08015802992898531
122,0.08047907160490694
123,0.0806464245936804
124,0.08066811295399594
125,0.08069710150216092
126,0.08074187340946737
127,0.08078911639367152
128,0.08083215993539503
129,0.08083769308510977
130,0.08085027257207769
131,0.08085111345217771
132,0.08085197019793999
133,0.0808904989671454
134,0.08096109124818336
135,0.08099019383079588
136,0.08100141184562076
137,0.0810109381842067
138,0.08116433831462244
139,0.08116521290925477
140,0.08116870137174517
141,0.08116969892526006
142,0.08121009785940486
143,0.08128424999841345
144,0.08131945590297832
145,0.08131945590297832
146,0.08133022868765588
147,0.08133022868765588
148,0.0813612024268117
149,0.08143475464546593
150,0.08143734669803838
151,0.08143890054133641
152,0.08157001239108225
153,0.08157033069593142
154,0.08167456016417789
155,0.08167530188388875
156,0.08167905807942985
157,0.08167911955887114
158,0.08168349451524057
159,0.08168358078477912
160,0.08168361053289586
161,0.08168459817037184
162,0.08182627555958191
163,0.08196294336593199
164,0.08196845767517277
165,0.08201700561009818
166,0.08211508316780158
167,0.0821198805474288
168,0.08235394765442049
169,0.08235416580727663
170,0.08239094142080178
171,0.08240010384075953
172,0.082401068671346
173,0.08240166660849259
174,0.08240174692840779
175,0.08246635190514874
176,0.08246761719171435
177,0.08247879256757186
178,0.08248857969798126
179,0.08258186979209638
180,0.08260494243144449
181,0.0826303443483338
182,0.08263443967240582
183,0.08264246273949219
184,0.08264246273949219
185,0.08264246273949219
186,0.08264260354724479
187,0.08266056843494761
188,0.08267037043941539
189,0.08267037043941539
190,0.08271084473545595
191,0.0827162955820477
192,0.08271654348302057
193,0.0831258418717039
194,0.08317845141616902
195,0.08317899580670546
196,0.08317899580670546
197,0.08327656764642419
198,0.08334189748560984
199,0.083345461309996
200,0.08343723722496875
201,0.08363387624307463
202,0.08366816392243595
203,0.08367063004131418
204,0.08369199414715718
205,0.08377233984407226
206,0.08382358494158264
207,0.08382358494158264
208,0.0838243504597869
209,0.0838314196039296
210,0.08385908039448381
211,0.08385912699986671
212,0.08386126093144128
213,0.08386402453148697
214,0.08392347118478419
215,0.08397423733761494
216,0.08402822025346982
217,0.08407845986463416
218,0.08410214432358334
219,0.08412887399808341
220,0.08413165743020695
221,0.08427424808660113
222,0.08427548362504998
223,0.08427776530560438
224,0.08428396481313423
225,0.08431847262855946
226,0.08436583857164615
227,0.08437384378986248
228,0.08438430025289864
229,0.08443808980599468
230,0.08443984791969436
231,0.08447168931225525
232,0.08448213288444086
233,0.08450061043135564
234,0.08454344672786582
235,0.08454380767168232
236,0.08458862717597558
237,0.08465953181223938
238,0.08467653682737523
239,0.08480123498315066
