,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392243,872643,959247,1164154,774870,1149292,955082,1108908,450903,958888,945772,719275,843592,1181316,943921,1045033,1091494,1180934,598444,615972,43107,1129942,750916,924607,444953,974551,1016585,1114360,963178,1099612,896036,956669,538666,376617,994622,2039,1035364,1122216,1100376,446842,61912,926437,677116,796295,1093733,105214,1183737,953958,898321,763956,127731,222801,313998,244388,244210,14838,357858,208814,243398,160321,270880,223789,213404,164088,151384,357059,113342,314446,205953,239345,304143,165387,56553,259507,94399,47753,154324,63244,292532,312239,311383,30535,221207,299854,94131,66834,256355,230235,104843,278221,317982,270217,136784,112193,159012,420336,182777,4828,195325,236735
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79107,297592,100603,388280,734442,99447,736862,734124,698206,139737,719759,762689,283572,226560,103342,180504,945658,744013,187932,153243,877245,341128,320943,232996,603300,607239,1097742,248227,751445,716863,826200,585374,175107,205334,289512,226836,708618,684996,168844,904811,109681,1151738,263230,418997,886359,347019,1188761,1092707,338679,221067,669693,92460,180330,27119,601415,801439,63087,351160,956281,403406,244102,238270,519752,257900,959192,280982,373777,760921,285570,248071,1041397,450773,923134,464960,117969,277591,746324,1121671,950855,914516,826535,179001,801396,854058,1075481,1046634,275217,335480,905848,1015330,151236,934559,244194,521665,820400,562544,988992,607718,487348,482524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925994,1088556,844795,865876,745688,837780,1043010,79815,784433,751399,1093659,743629,743164,248265,902949,942694,547334,550154,930092,179,512218,739319,1096992,1043775,933770,898565,812255,1113133,1007615,936377,784261,950879,1190226,568965,646769,272336,942355,123428,695674,1015164,1173634,1069087,1186358,956123,1175226,110320,1138958,685068,896132,757447,586551,1085441,304016,361488,1185799,83101,830548,841903,915477,800895,881995,535244,694525,742099,232431,351828,681370,515503,129992,369567,880814,1052912,421622,458165,726773,912571,480279,36613,941803,639900,1059778,261626,1097879,1075858,957043,1060765,819574,835714,1041054,18380,1106181,802329,848709,986646,909032,400,740369,859242,996065,1001770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856274,1119281,921042,897291,806759,1015760,608146,694472,1028438,1085377,1076941,835390,1005108,633607,960810,857360,394074,554838,679521,538304,391287,749611,1033880,820475,1058880,1040993,894003,882837,617291,732841,827384,927294,657905,659350,387689,434455,1094717,1199855,680605,633588,1031092,694462,892931,806330,941946,497335,954367,1121845,764052,889548,816748,1062246,1129001,497061,615183,1086851,725763,798021,931494,903161,1034526,901730,454176,439563,909068,950953,1111565,478820,884935,1169321,860695,840583,1092245,579383,1083876,1121008,707418,468382,1093782,379716,1101326,712067,804112,554137,914087,449803,1154994,737581,986518,928538,899493,210976,782370,49037,837671,929213,660401,1063552,704655,723068
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117676,941936,708424,693231,139948,172759,1127145,1125128,1190174,1091652,137284,403784,992513,473989,936438,416,1012959,651,993285,853793,692688,467737,495319,556923,1029459,880426,995749,878372,626784,626558,751395,975806,440998,735521,610610,554481,543795,774774,909983,360393,1091243,1147819,294772,430787,654271,420717,993435,778937,492996,489807,950858,883575,826628,503319,808304,854352,925827,635982,759294,829699,893520,648744,626021,825315,647548,553172,410433,312718,367844,280333,386285,691731,1131487,72921,929356,541545,1040424,1106915,148515,664208,525818,646958,1051088,405502,1156178,1070441,1123098,447746,1019081,614341,854846,1092491,641749,798710,587028,808239,1164772,922766,1186720,789675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027461,491196,945648,60732,914853,388152,1179375,654650,565667,841779,608377,715731,987008,655057,1167279,265757,441075,37890,1021529,1032670,163180,955951,1119136,1070298,979060,1150179,1065290,959647,1006170,1026282,843510,1036873,824638,343960,1127365,111606,989839,951777,987105,670873,682810,512125,1168475,1115419,1056290,335479,1102466,417435,693955,285721,958126,578827,236347,313677,903584,896046,1186419,579242,1058075,662542,1176559,948623,742506,624866,869555,130810,700274,584133,941432,253010,968024,910638,790553,573019,676364,936355,910639,844946,1067605,902679,498515,359252,25407,42779,1181507,656292,219926,258106,211318,80793,866166,712597,184340,41874,503672,214896,231370,1944,1122104,109979
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441947,259089,1127182,1175676,1112099,989970,1104237,1060655,1002331,725698,1142143,760893,908698,415423,857236,435502,944118,738112,1008812,911501,1076626,1081160,473232,165928,800389,908197,1164457,870323,1020659,464327,912223,1031970,550225,27435,696482,1032819,903456,832317,1165840,941470,1002905,295019,911487,909332,877411,150746,832294,295754,1114466,800161,789786,585601,1095207,932562,910452,421609,564808,952172,970507,812478,677080,357700,1175069,772897,907775,146345,909231,894622,984138,936997,1076410,340800,1102135,971572,758750,916614,1185299,1096880,829820,572806,790701,800800,469816,395057,626189,687518,658317,525064,887128,218831,1020298,1087693,935668,276090,726875,843493,911036,851548,1131240,1024753
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142153,612462,1091960,1089651,563182,906358,1112834,934187,633407,640545,1063313,978858,1107657,568219,709771,1007689,1031882,1067857,931000,460975,796682,415829,1126149,1111757,927517,912421,611309,786601,1187489,1110497,903889,1001009,831007,197786,989486,1108245,630092,566396,934178,1026907,983417,346288,1165263,491361,1085417,1069727,1095597,1026764,847054,853581,1044417,320981,1144894,763646,1096505,950583,1106584,1127150,595981,581770,901211,993861,678004,1118244,919419,1013097,132051,101165,678789,672782,838416,846086,1050606,206,812044,232750,413759,375416,1079869,958595,1030208,886418,1123345,1123750,1116950,824955,499142,934753,1147912,1091957,508465,505106,945170,976180,550310,642832,1028255,1174745,435479,988939
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970982,933702,573456,842903,1066651,1003790,332585,1069543,999668,633701,317292,237462,693937,426073,898617,568721,1062059,1159241,1153485,692976,896456,741523,612346,1489,963270,1003009,489907,1002553,1149567,491417,1011016,1101563,908207,761809,1133220,1071959,643012,822737,515015,145427,802615,492440,1101088,621412,397689,483786,953535,912856,885575,876272,1047599,969534,828643,1047096,607814,398499,1028288,750315,1110206,359973,401123,545791,1038614,489619,851654,670762,1159723,1058932,412798,139067,1136705,1167677,1006981,603934,975016,924764,998385,766646,762927,588989,961809,600032,956049,756408,596034,558530,936600,1061807,1007437,569543,1119754,1094069,1046713,1158921,1133165,985871,913574,1005934,643595,713318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819122,1137362,183955,255640,604173,656635,855850,793077,793882,582386,1071043,1080277,934174,866275,707741,865688,1156752,1160422,1177805,1107612,945426,314861,1192274,1060131,925822,495146,1161255,261208,934174,193532,291127,795845,346167,4657,570778,631892,1165623,1033510,988939,931217,340928,128401,942023,1061437,618981,702914,998356,58246,761964,901818,692489,1137092,855262,728803,1028026,727691,698088,696067,656465,641104,573236,712976,763427,1038254,1067745,854376,1026105,545885,920621,190486,1107559,1023460,1043267,736270,746803,191916,648606,472445,633741,930794,1026596,248322,331872,1157837,1156536,588584,1099606,627667,738206,858196,1021220,725614,775381,650195,550292,717366,919861,1120930,693844,955652
