generation,hv,influence_k,influence_comm,k_comm
1,0.01627474456814283,0.017956754753556257,0.036048918156161805,0.8016934046345809
2,0.016685363960002884,0.018265914079648792,0.036780477007359855,0.8186274509803921
3,0.017097450628245827,0.01861327289831523,0.03708261856012396,0.822638146167558
4,0.01723768871270393,0.01873286011573876,0.03734491727076532,0.8230837789661319
5,0.017383276067632222,0.018829356595113887,0.03770128935864092,0.8279857397504456
6,0.017533986313245903,0.0189741725818866,0.037944773393835424,0.8324420677361853
7,0.017660205619920082,0.019083639784486444,0.037944773393835424,0.8368983957219253
8,0.01781088232778787,0.01915276946321161,0.03799457694648885,0.8426916221033868
9,0.0179677467497732,0.01924242424242424,0.038049914227214876,0.8511586452762923
10,0.01804795226908005,0.0192656575158927,0.03818715068341542,0.8582887700534759
11,0.01808594215074211,0.019298155591664527,0.03821592606939295,0.8582887700534759
12,0.01814352646044307,0.019338778186379316,0.03824691494659952,0.8605169340463459
13,0.01822033628297809,0.019397930385700844,0.03826462287643185,0.8636363636363636
14,0.01829759048064621,0.0194096182901451,0.03827347684134801,0.872994652406417
15,0.018329635796848463,0.019439550728355993,0.03827347684134801,0.872994652406417
16,0.018394413953043805,0.019483024031471823,0.03827901056942062,0.872994652406417
17,0.01846345978740423,0.019578522762906586,0.03840185933263239,0.872994652406417
18,0.018522092151664393,0.019657202314775222,0.03840185933263239,0.872994652406417
19,0.018553877550335964,0.01967886769862311,0.03852360135022965,0.872994652406417
20,0.018561784073930606,0.01968100572992389,0.038536882297603894,0.8734402852049912
21,0.01858258586082171,0.01970252857835172,0.038581152122184714,0.8738859180035652
22,0.018601643684926297,0.019721058182958467,0.038581152122184714,0.8738859180035652
23,0.018610690491881354,0.019722198466318883,0.038581152122184714,0.8743315508021391
24,0.01863232233798334,0.01974756977108812,0.038581152122184714,0.8756684491978611
25,0.01866086295973961,0.01975911514011232,0.038581152122184714,0.8756684491978611
26,0.018684289075246968,0.019768379942415693,0.038581152122184714,0.8756684491978611
27,0.018695482297939277,0.019780352917700052,0.038581152122184714,0.8756684491978611
28,0.018716770382145847,0.019797172097266176,0.038581152122184714,0.8756684491978611
29,0.018742711828595292,0.019825251575016394,0.038581152122184714,0.8756684491978611
30,0.0187514567958373,0.019825964252116655,0.038581152122184714,0.877005347593583
31,0.018780081261958306,0.019838222298241115,0.038654197332743064,0.878787878787879
32,0.018800161987312675,0.019839362581601534,0.03865641082397211,0.878787878787879
33,0.018804941116102647,0.019839362581601534,0.03866526478888827,0.8792335115864529
34,0.018807632520210688,0.019839362581601534,0.03866526478888827,0.8792335115864529
35,0.01882014209942936,0.01984976766726532,0.03874605721874826,0.8792335115864529
36,0.018832433683299715,0.01986117050086947,0.03874605721874826,0.8801247771836008
37,0.018855038124032653,0.01990692437070613,0.03874605721874826,0.8801247771836008
38,0.018969099997820052,0.019912340716668097,0.03874605721874826,0.8885918003565063
39,0.018976377688679172,0.019916901850109758,0.038796967517016216,0.8885918003565063
40,0.018988224897416424,0.019927021864933437,0.038796967517016216,0.8885918003565063
41,0.019000491327977362,0.019937997092277438,0.038799181008245254,0.8894830659536542
42,0.019023900674611766,0.019960945294905788,0.03881688893807758,0.8894830659536542
43,0.019041793062046515,0.019988454630975806,0.03881688893807758,0.8894830659536542
44,0.01909168884350115,0.020034778642492666,0.03882906313983731,0.8903743315508024
45,0.01910282337513814,0.020036346532113235,0.038862265508272924,0.8903743315508024
46,0.019105523163682653,0.020039909917614535,0.03890210835039566,0.8903743315508024
47,0.01911161864899899,0.020041335271815054,0.03890210835039566,0.8903743315508024
48,0.01911876218887453,0.02004732175945723,0.03890985556969731,0.8903743315508024
49,0.019134072169875397,0.020060720088942108,0.038955232139892645,0.8903743315508024
50,0.019140360497230627,0.020060720088942108,0.038955232139892645,0.8903743315508024
51,0.019147286041757857,0.020063998403603303,0.038955232139892645,0.8903743315508024
