measure,Hyperarea,GD,HyperVolume
two-hop,0.10330682625383952,1.9790095376198553,0.02873817698756759
page_rank,0.9796212678453885,0.09011694478277157,0.27251373793007033
degree_centrality,0.9544382761909482,0.17191820562129542,0.2655082640665768
katz_centrality,0.6360072154991953,0.8319768705220569,0.17692623602118068
betweenness,0.9529242878809511,0.17036319511732848,0.2650870986355248
closeness,0.8764270731052,0.4017902016227053,0.2438068930866703
eigenvector_centrality,0.742433997707403,0.6728671203815552,0.20653233093500165
core,0.5654235549834125,0.9082010859663447,0.15729107925672087
