measure,Hyperarea,GD,HyperVolume
two-hop,0.2707809872350503,1.5184000600676089,0.014170973081401056
page_rank,0.8128776300166045,0.39829219790139664,0.04254090041941955
degree_centrality,0.7956265190872229,0.4412777159611964,0.041638085819691674
katz_centrality,0.7333416478644882,0.5933368159210579,0.03837848756470143
betweenness,0.8204116352294566,0.3711914748068606,0.0429351828472836
closeness,0.7659574870141737,0.5174802096444908,0.0400853953625384
eigenvector_centrality,0.7217081392103398,0.6242759406101824,0.03776966292134832
core,0.6896679781485971,0.709630352289283,0.03609288249239013
