n_nodes,influence,communities,time,nodes,std
2.0,474.2,3,13,"[507, 196]",62.417064974252035
4.0,497.1,5,13,"[450, 15, 740, 873]",100.11273645246143
2.0,473.9,4,13,"[450, 752]",120.52800504447089
7.0,507.9,7,13,"[67, 840, 740, 52, 873, 85, 543]",74.54723334906534
1.0,415.3,3,12,[108],152.6665975254574
9.0,513.0,7,15,"[67, 840, 740, 52, 85, 873, 543, 48, 10]",80.31369746189003
15.0,522.0,7,10,"[507, 196, 869, 873, 53, 840, 9, 854, 97, 439, 695, 953, 313, 836, 400]",78.58982122387097
6.0,509.0,6,12,"[507, 803, 52, 873, 513, 840]",143.73712116221054
14.0,521.8,7,11,"[507, 196, 869, 873, 899, 840, 9, 808, 713, 439, 99, 953, 836, 467]",15.902515524281057
21.0,527.6,7,10,"[450, 997, 957, 1004, 855, 666, 164, 268, 333, 29, 53, 206, 358, 922, 617, 477, 851, 734, 241, 87, 887]",17.392239648762892
10.0,516.9,7,10,"[450, 761, 869, 873, 978, 81, 97, 4, 961, 233]",134.00630582177843
3.0,491.8,4,14,"[607, 761, 993]",201.76275672184894
11.0,520.1,7,11,"[67, 840, 740, 52, 85, 873, 543, 48, 713, 363, 99]",100.91228864712167
5.0,481.2,6,14,"[67, 529, 695, 85, 886]",30.066592756745816
4.0,499.8,4,11,"[522, 196, 740, 873]",15.99656213065795
17.0,522.2,6,12,"[278, 997, 581, 840, 899, 873, 708, 808, 713, 831, 439, 912, 585, 87, 217, 477, 94]",15.852129194527782
6.0,499.7,7,16,"[558, 847, 805, 873, 81, 85]",43.77853355241585
