n_nodes,influence,communities,time,nodes,std
88.0,563.4,7,18,"[1537, 393, 748, 1712, 182, 139, 270, 1299, 1510, 1174, 921, 1954, 1602, 1606, 1607, 73, 1123, 611, 622, 1647, 1654, 1131, 420, 1725, 144, 196, 1221, 202, 207, 1239, 97, 728, 603, 124, 170, 800, 91, 2039, 1804, 598, 901, 774, 2066, 249, 766, 647, 1671, 137, 751, 1288, 1676, 1165, 265, 779, 269, 1294, 1819, 1308, 1181, 1307, 1438, 415, 1319, 935, 936, 1834, 1449, 937, 816, 1971, 309, 383, 1419, 1334, 1847, 1998, 464, 850, 342, 861, 1905, 1396, 862, 1887, 1378, 364, 1009, 2035]",75.1760600191311
67.0,494.3,7,20,"[645, 1543, 263, 10, 2008, 1052, 1309, 1182, 286, 1575, 811, 1330, 822, 692, 1340, 319, 66, 1728, 1350, 1354, 1654, 170, 2066, 97, 1712, 182, 1211, 1725, 196, 1221, 202, 1904, 249, 122, 1916, 598, 669, 1307, 1438, 901, 774, 1288, 265, 779, 1804, 269, 1294, 1419, 888, 1819, 415, 1319, 1834, 816, 309, 1334, 1847, 850, 935, 342, 861, 862, 1887, 1159, 364, 1905, 1396]",45.225656435258074
14.0,215.7,5,16,"[1164, 1362, 1839, 1158, 1181, 1035, 791, 391, 563, 166, 1020, 471, 1297, 191]",81.80073349304394
51.0,428.1,7,15,"[1664, 835, 1282, 1361, 1331, 1755, 778, 1342, 1165, 1807, 1167, 145, 1674, 1419, 1839, 1531, 1433, 1818, 1561, 1659, 1821, 286, 1951, 674, 675, 680, 1448, 748, 1181, 1728, 97, 2034, 1012, 223, 1018, 827, 1108, 1909, 1029, 788, 1947, 1377, 124, 751, 249, 245, 800, 91, 2039, 901, 1307]",49.26915871008962
17.0,245.5,6,15,"[1911, 579, 520, 1691, 1301, 1177, 1969, 471, 1807, 1167, 1591, 1419, 535, 1839, 1531, 1433, 1196]",34.4905784236797
30.0,316.3,7,16,"[547, 33, 785, 1986, 396, 1931, 778, 1165, 1807, 1167, 145, 185, 535, 1839, 1531, 1433, 1818, 1561, 1563, 1821, 286, 1951, 674, 675, 680, 1448, 683, 45, 942, 177]",65.00769185258002
11.0,180.4,6,12,"[756, 33, 785, 88, 1986, 396, 1142, 1014, 1528, 1147, 381]",31.87224497897818
43.0,397.3,7,20,"[201, 33, 44, 785, 1986, 396, 1931, 778, 1165, 1807, 1167, 145, 1419, 535, 1531, 1433, 1728, 1350, 1354, 1615, 286, 2001, 1874, 1235, 1265, 1119, 1120, 98, 742, 871, 365, 1904, 939, 249, 1916, 309, 1334, 1847, 850, 1014, 1528, 1147, 381]",76.01243319352434
76.0,513.4,7,17,"[1537, 393, 1391, 270, 613, 481, 32, 570, 1116, 2022, 764, 1351, 1025, 1985, 503, 1123, 23, 480, 591, 695, 2021, 496, 1529, 97, 748, 1181, 1728, 2034, 1012, 596, 1018, 827, 1108, 1909, 1029, 788, 1947, 1377, 124, 751, 249, 245, 800, 91, 2039, 901, 774, 1288, 1241, 779, 1804, 269, 389, 1819, 888, 1319, 1834, 816, 309, 1334, 1847, 850, 598, 342, 861, 862, 81, 2026, 1905, 1284, 364, 1378, 1307, 1438, 415, 935]",100.11897921972637
71.0,512.7,7,17,"[645, 1543, 263, 10, 2008, 1052, 1309, 1182, 286, 1575, 811, 1330, 822, 692, 1340, 319, 1472, 1728, 1350, 1354, 1615, 2001, 1874, 674, 675, 680, 1448, 748, 1181, 97, 2034, 1012, 249, 596, 1018, 827, 1108, 1909, 901, 774, 1288, 1029, 779, 1804, 269, 389, 888, 1419, 1819, 1319, 1834, 816, 309, 1334, 850, 598, 342, 861, 862, 1847, 1947, 1377, 124, 751, 245, 800, 91, 2039, 1241, 1591, 81]",50.049975024968795
