n_nodes,influence,nodes,time,std
0.7060333761232349,9.37,"[1022, 1527, 593, 1379, 1382, 148, 895, 745, 1306, 1153, 1053]",15,48.43884391684013
0.8985879332477533,11.04,"[1005, 704, 90, 884, 487, 1504, 667, 797, 141, 668, 1141, 53, 1308, 846]",15,58.3009571104969
0.25673940949935803,4.19,"[858, 704, 784, 884]",9,35.698739473544435
1.1553273427471116,12.8,"[520, 898, 1271, 1306, 1153, 1504, 459, 927, 699, 1011, 1269, 337, 141, 668, 1141, 53, 1308, 846]",15,54.164578831557435
1.4762516046213092,15.28,"[382, 1418, 148, 667, 1461, 1401, 141, 756, 173, 520, 808, 120, 1502, 703, 1025, 900, 676, 452, 1558, 1513, 880, 1388, 820]",15,61.55467163424723
1.6688061617458279,16.45,"[520, 898, 697, 1049, 1025, 1461, 120, 1502, 667, 315, 313, 452, 985, 703, 823, 1128, 1485, 626, 545, 1558, 900, 1388, 1513, 820, 173, 908]",15,53.652213374659574
1.9897304236200255,18.46,"[520, 503, 425, 838, 1305, 582, 1504, 699, 1011, 518, 228, 574, 1343, 1382, 18, 1339, 1287, 895, 1308, 949, 846, 53, 1073, 444, 1502, 672, 75, 1012, 25, 1262, 1379]",15,56.374476494243396
0.38510911424903727,6.42,"[520, 1494, 838, 940, 1153, 1053]",13,46.425492996843886
1.4120667522464698,14.55,"[391, 292, 1025, 1502, 95, 582, 1461, 1049, 699, 1504, 1011, 535, 1287, 18, 25, 518, 908, 820, 1513, 900, 545, 315]",16,60.508564683026485
1.0911424903722722,12.77,"[918, 503, 1049, 141, 1495, 1502, 938, 808, 1025, 667, 1461, 671, 120, 347, 703, 1558, 820]",15,48.692093814088544
0.1283697047496788,2.65,"[520, 1117]",8,36.732334529675626
1.2195121951219512,13.54,"[382, 1418, 148, 667, 895, 1504, 1011, 668, 452, 141, 962, 808, 671, 820, 1490, 1388, 1311, 779, 1398]",15,55.81704399195644
1.797175866495507,17.88,"[918, 697, 1049, 1504, 1090, 1417, 43, 1011, 881, 1424, 814, 671, 520, 424, 846, 518, 1269, 228, 908, 987, 29, 1439, 1287, 315, 1300, 672, 1262, 25]",16,51.365139929722766
0.32092426187419765,5.85,"[520, 1494, 838, 530, 1153]",12,38.6070667106425
0.5776636713735557,8.16,"[836, 1418, 148, 1461, 1053, 520, 1153, 772, 1306]",13,52.84826960270317
1.7329910141206675,16.56,"[918, 503, 425, 427, 1036, 279, 1394, 1504, 1011, 228, 699, 518, 1382, 1308, 1287, 18, 574, 1343, 672, 1073, 949, 57, 1339, 75, 846, 1502, 1379]",14,43.57028804127877
0.44929396662387644,7.36,"[1502, 1418, 148, 1081, 1153, 520, 846]",14,52.51167108367434
1.6046213093709885,16.15,"[382, 1418, 148, 667, 1401, 1461, 756, 173, 141, 520, 701, 846, 1502, 120, 518, 808, 1269, 228, 908, 987, 29, 1439, 1287, 315, 1175]",14,54.10777762946839
1.2836970474967906,14.21,"[382, 1418, 148, 667, 895, 1504, 1011, 668, 452, 130, 962, 808, 671, 820, 545, 908, 1388, 1439, 315, 5]",15,61.815519087038325
0.6418485237483953,9.16,"[382, 1418, 148, 667, 895, 520, 1504, 1519, 1011, 272]",15,62.537016238384766
0.7702182284980745,10.3,"[382, 1418, 148, 667, 1108, 1504, 1011, 668, 452, 141, 962, 808]",15,53.283652277222885
0.5134788189987161,8.07,"[1502, 1418, 148, 285, 1153, 520, 846, 808]",14,57.105222178011005
1.0269576379974326,12.15,"[382, 1418, 148, 667, 895, 520, 1519, 1504, 1011, 272, 141, 668, 587, 53, 1308, 846]",14,55.79754833323773
0.1925545571245184,3.2,"[520, 822, 148]",9,36.1052960104193
0.8344030808729139,10.52,"[382, 895, 1418, 148, 520, 667, 1504, 1519, 1011, 272, 1287, 1274, 315]",13,47.68236990754549
0.9627727856225929,11.8,"[382, 895, 1418, 148, 667, 520, 1519, 1287, 1011, 1504, 272, 1274, 315, 900, 370]",14,61.575319731204
1.5404364569961488,15.57,"[1005, 697, 1049, 1090, 1417, 1504, 43, 509, 881, 36, 814, 671, 424, 846, 520, 518, 228, 1269, 908, 987, 29, 1439, 1287, 315]",17,51.289000770145634
