measure,Hyperarea,GD,HyperVolume
two-hop,0.31149092871633194,1.1488814975805608,0.01778916532420303
page_rank,0.9637087634341829,0.07107965947968248,0.05503715497514932
degree_centrality,0.9549121196183551,0.07917488027271806,0.05453478095166565
katz_centrality,0.80224427964706,0.42353105905609423,0.0458159606119196
betweenness,0.9191162194386633,0.14626630299509918,0.05249048647140774
closeness,0.8615840750693405,0.29107324381428734,0.04920484078066651
eigenvector_centrality,0.8007698671109542,0.42444813082001975,0.04573175729829839
core,0.7398768030011992,0.5380025445553523,0.04225417036178697
