measure,Hyperarea,GD,HyperVolume
two-hop,0.0900930055225852,1.278431436354089,0.025168932006895742
page_rank,0.9544473053476974,0.13753008010587942,0.2666402257657941
degree_centrality,0.9333780158972483,0.21251884612256697,0.26075418044478393
katz_centrality,0.6202125694982791,0.8350113712193968,0.1732663695808331
betweenness,0.9333083464204371,0.21931989586333064,0.26073471715443586
closeness,0.8568097246849231,0.4369927699228805,0.2393635951909254
eigenvector_centrality,0.7324044897895378,0.6737411690926307,0.20460898932311572
core,0.5018073573538635,0.9607384086883196,0.14018796669662942
