n_nodes,influence,communities,nodes
1.6739446870451236,54.31,14,"[1155, 947, 956, 1287, 1349, 918, 1227, 1282, 1244, 1038, 1268, 911, 1033, 1328, 1290, 306, 1107, 317, 990, 1023, 1364, 1353, 1261]"
2.1106259097525473,54.73,14,"[1176, 1309, 1282, 1268, 306, 1372, 1349, 24, 1107, 1244, 1338, 293, 750, 608, 177, 1033, 1307, 1023, 1251, 1290, 1369, 1270, 1287, 1353, 1231, 1227, 1261, 1038, 1328]"
0.2911208151382825,50.94,14,"[257, 1290, 1231, 1359]"
1.965065502183406,54.58,14,"[516, 1325, 1295, 1287, 1349, 918, 1227, 1282, 1244, 1038, 1268, 911, 1033, 1290, 1328, 306, 1107, 250, 990, 1023, 1364, 1219, 1353, 1261, 981, 1251, 1269]"
0.36390101892285287,52.44,13,"[326, 788, 1275, 826, 1299]"
0.0727802037845704,49.66,12,[756]
0.727802037845706,53.06,14,"[326, 1268, 1273, 826, 1287, 1372, 1244, 1310, 1233, 1053]"
0.5822416302765645,52.92,13,"[326, 1111, 1273, 381, 1275, 1329, 72, 1268]"
1.1644832605531295,53.76,13,"[326, 1273, 1275, 1268, 1372, 1287, 1231, 1341, 949, 72, 1369, 1242, 1353, 1107, 723, 1038]"
0.36390101892285287,51.83,14,"[516, 497, 1227, 1275, 1369]"
1.0917030567685588,53.75,13,"[516, 1326, 722, 1275, 1010, 574, 1271, 1231, 1290, 1022, 1269, 1353, 1328, 1261, 1369]"
1.8195050946142648,54.46,13,"[826, 1273, 999, 1282, 1297, 1231, 1330, 392, 1244, 1290, 753, 1269, 1107, 1268, 1146, 142, 1256, 1033, 1159, 1353, 1292, 1227, 1038, 1261, 1140]"
0.43668122270742327,52.42,14,"[326, 210, 1295, 1275, 1369, 1231]"
0.6550218340611353,53.0,13,"[326, 591, 1268, 400, 72, 1242, 1273, 1275, 1231]"
0.36390101892285287,52.44,13,"[326, 788, 826, 1299, 1275]"
0.5822416302765645,52.87,14,"[326, 1273, 1275, 1233, 826, 1299, 1372, 1130]"
0.43668122270742327,52.69,13,"[326, 826, 1273, 80, 1369, 1275]"
1.2372634643377,54.09,14,"[326, 1111, 1275, 1265, 1269, 1353, 1268, 1273, 716, 1271, 1010, 1022, 254, 1261, 1290, 1369, 1231]"
1.7467248908296942,54.33,14,"[1247, 947, 956, 918, 1124, 1287, 1358, 1349, 1227, 1292, 1140, 1268, 1038, 1231, 1269, 1369, 1282, 1107, 990, 1338, 132, 1032, 1353, 1290]"
0.873362445414847,53.44,13,"[326, 1268, 1273, 1071, 1275, 526, 301, 1227, 1269, 1083, 1328, 1353]"
0.6550218340611353,52.96,14,"[326, 1268, 1273, 1304, 826, 1372, 1244, 1310, 1233]"
0.727802037845706,53.13,13,"[326, 1076, 1299, 826, 1231, 1292, 1107, 1310, 1340, 1053]"
0.8005822416302764,53.38,14,"[326, 1324, 1275, 1329, 990, 1287, 72, 1268, 1146, 1353, 1231]"
2.0378457059679764,54.66,14,"[1247, 947, 956, 1287, 918, 1349, 1227, 1124, 1358, 1038, 1268, 1292, 1140, 1282, 1369, 1244, 1338, 1023, 990, 1107, 971, 1364, 398, 1219, 1290, 1261, 981, 1353]"
0.2911208151382825,52.04,13,"[516, 616, 1283, 1275]"
1.0189228529839882,53.62,14,"[326, 1273, 1275, 1231, 1244, 1287, 1329, 990, 1146, 72, 1328, 1261, 1353, 1369]"
1.0917030567685588,53.68,14,"[326, 1307, 1299, 826, 1334, 1310, 1372, 1233, 1244, 233, 1033, 1353, 1227, 1290, 1261]"
1.8195050946142648,54.44,14,"[326, 1273, 159, 1010, 1062, 1268, 1270, 1349, 1244, 1047, 30, 1298, 1249, 1227, 1353, 1261, 1290, 1338, 1023, 653, 990, 1256, 1282, 1287, 1038]"
0.9461426491994176,53.49,13,"[326, 1307, 826, 1300, 1299, 1275, 1038, 1309, 1261, 1140, 1269, 1369, 990]"
1.4556040756914117,54.11,14,"[326, 1273, 826, 1231, 1299, 537, 1271, 1022, 1268, 1072, 1369, 1269, 1244, 1140, 1012, 1290, 1292, 360, 1127, 1261]"
0.21834061135371163,51.81,13,"[1247, 766, 1283]"
0.5094614264919939,52.55,14,"[326, 1041, 1231, 1275, 1299, 1372, 826]"
1.8922852983988352,54.52,14,"[326, 1273, 1351, 1268, 1010, 1062, 1349, 145, 1047, 306, 1249, 1244, 1338, 1023, 990, 15, 1282, 1287, 1033, 1290, 1328, 1353, 1261, 1038, 1227, 1107]"
1.1644832605531295,53.74,14,"[326, 1111, 1268, 1275, 716, 1010, 1273, 574, 1271, 1242, 1231, 1107, 1269, 1038, 1353, 752]"
0.9461426491994176,53.48,14,"[326, 1198, 1299, 826, 1231, 1292, 1038, 1309, 1140, 990, 299, 1269, 1369]"
0.1455604075691408,51.2,13,"[756, 1318]"
1.0189228529839882,53.67,13,"[326, 1275, 1273, 1231, 1244, 1287, 1329, 1268, 921, 1072, 1269, 1290, 1353, 1369]"
1.6011644832605532,54.2,14,"[326, 1111, 1268, 1275, 1278, 1273, 990, 1005, 109, 1292, 1231, 1244, 1269, 1290, 1140, 1282, 336, 1287, 1353, 1261, 1227, 1038]"
1.5283842794759823,54.15,14,"[326, 159, 1273, 1010, 1225, 1249, 990, 686, 1268, 109, 1292, 1140, 1369, 1269, 1282, 1353, 1227, 1261, 1038, 1231, 1107]"
2.1834061135371177,54.83,14,"[1247, 1325, 1010, 145, 1062, 1349, 1227, 1249, 1270, 1038, 1268, 1244, 1047, 1146, 1107, 1364, 1328, 420, 990, 1282, 1353, 1033, 1338, 58, 1290, 1261, 306, 1231, 1219, 981]"
0.5094614264919939,52.74,13,"[326, 1300, 169, 826, 1275, 1299, 1292]"
0.36390101892285287,52.49,12,"[326, 1321, 826, 1299, 1275]"
0.873362445414847,53.4,14,"[326, 1083, 1329, 952, 72, 1268, 1275, 1146, 1261, 1231, 1353, 990]"
