n_nodes,influence,communities,nodes
0.2911208151382825,52.21,13,"[1257, 1284, 766, 1268]"
0.0727802037845704,49.29,12,[826]
1.6739446870451236,54.24,14,"[1239, 1206, 264, 1334, 1275, 1231, 1242, 801, 1057, 1226, 1144, 1042, 791, 1269, 1319, 295, 1247, 1266, 1090, 1355, 1229, 1268, 1237]"
2.4017467248908297,54.93,14,"[111, 1035, 1282, 1269, 1144, 1279, 1091, 264, 1231, 1355, 1250, 1358, 1309, 1345, 1226, 1371, 1001, 245, 145, 1293, 1327, 1337, 1117, 16, 974, 1237, 1369, 590, 1247, 1057, 939, 1319, 1042]"
2.0378457059679764,54.63,14,"[1239, 1206, 1282, 1334, 264, 1242, 956, 1369, 1243, 1057, 1144, 1191, 1275, 801, 1269, 1011, 1255, 1226, 1042, 1090, 1237, 1128, 1117, 548, 1082, 473, 1319, 1355]"
0.43668122270742327,52.62,13,"[1247, 629, 1275, 1309, 1268, 264]"
1.5283842794759823,54.01,14,"[1239, 449, 1313, 1282, 985, 1198, 1309, 1358, 371, 1249, 264, 1173, 1240, 1371, 1334, 1010, 1226, 1090, 1269, 1355, 1268]"
0.6550218340611353,52.84,14,"[473, 625, 1371, 1144, 264, 1275, 1268, 1309, 1226]"
0.36390101892285287,52.29,13,"[1239, 264, 472, 1247, 1275]"
0.5822416302765645,52.69,14,"[1277, 1359, 766, 1144, 1275, 264, 1226, 1309]"
2.0378457059679764,54.64,13,"[1239, 1282, 1279, 1091, 1366, 1309, 1231, 1250, 1358, 1269, 58, 1371, 864, 1144, 1355, 1128, 1229, 1369, 1327, 1345, 1138, 1240, 1001, 1090, 1226, 1237, 11, 264]"
0.5094614264919939,52.44,14,"[1277, 1359, 766, 1141, 264, 1275, 1226]"
2.2561863173216885,54.87,14,"[1239, 1366, 1279, 1282, 1091, 1231, 1309, 1250, 1358, 1371, 1144, 58, 1269, 1249, 1355, 1229, 1369, 1327, 1345, 1240, 1128, 145, 1001, 1226, 1090, 1237, 11, 1057, 1319, 1082, 264]"
1.965065502183406,54.57,14,"[1239, 888, 1282, 1334, 956, 1309, 1243, 1333, 1369, 1011, 801, 169, 1226, 1371, 1275, 1345, 508, 1144, 1106, 1001, 1082, 1057, 62, 1355, 1229, 1268, 1237]"
1.3828238719068413,53.98,14,"[1239, 596, 766, 1047, 1309, 1080, 326, 937, 1270, 1371, 1240, 789, 1335, 532, 1237, 1229, 1355, 1275, 1268]"
1.0917030567685588,53.66,14,"[1099, 1369, 1279, 908, 1275, 1053, 1309, 326, 1080, 1131, 1042, 1237, 1268, 1229, 1269]"
0.36390101892285287,51.86,14,"[1239, 567, 1367, 1275, 1229]"
1.8922852983988352,54.5,14,"[1322, 1366, 1279, 622, 145, 1091, 1270, 1309, 1231, 1240, 1371, 1337, 104, 1250, 1144, 1237, 1358, 590, 264, 1042, 1269, 1057, 1319, 1355, 1268, 1082]"
0.1455604075691408,51.0,13,"[1314, 629]"
1.1644832605531295,53.72,14,"[1239, 703, 766, 1275, 1144, 1226, 1309, 1308, 349, 1355, 1269, 1327, 1042, 326, 1268, 1237]"
0.5094614264919939,52.76,13,"[1239, 1359, 766, 1275, 1144, 663, 1309]"
0.9461426491994176,53.55,14,"[1239, 1359, 766, 1172, 1275, 1226, 1309, 1269, 1042, 326, 1308, 1237, 1268]"
0.727802037845706,53.07,14,"[1277, 1359, 766, 1282, 1251, 1226, 1309, 1237, 1275, 1269]"
0.6550218340611353,53.04,13,"[826, 1172, 1268, 1275, 1309, 326, 1128, 1103, 1269]"
2.1106259097525473,54.71,13,"[1239, 1366, 1279, 58, 1249, 1282, 1091, 1309, 1231, 1345, 1240, 1371, 1250, 1095, 1358, 1128, 1247, 1269, 987, 1369, 913, 1268, 1057, 1355, 1229, 1327, 1090, 1319, 1082]"
1.7467248908296942,54.34,13,"[1239, 1366, 1279, 1091, 1282, 1250, 1309, 1231, 1358, 58, 1371, 1249, 1144, 1345, 1240, 1128, 1042, 1090, 1269, 1296, 993, 1117, 1082, 1237]"
1.6011644832605532,54.21,14,"[1239, 1128, 1279, 1366, 1042, 1090, 481, 1309, 1296, 1250, 1282, 58, 1371, 1231, 1144, 993, 1358, 1226, 1345, 1240, 1249, 1269]"
1.3100436681222705,53.88,14,"[1239, 1008, 1206, 1359, 1308, 1131, 326, 944, 1309, 348, 1355, 1042, 1275, 1229, 1268, 1269, 956, 1237]"
1.0189228529839882,53.6,13,"[1239, 1008, 1206, 1359, 1308, 1131, 326, 586, 1309, 348, 1355, 1268, 1269, 1275]"
2.1106259097525473,54.7,14,"[1239, 1366, 1279, 1091, 1282, 1250, 1309, 1231, 1358, 58, 1249, 1371, 1128, 1144, 1311, 264, 590, 1240, 1345, 1266, 1355, 1369, 1090, 500, 1247, 1082, 1229, 1057, 1319]"
0.727802037845706,53.31,13,"[1239, 1359, 1234, 564, 1275, 1308, 311, 326, 1268, 1080]"
1.7467248908296942,54.33,14,"[1239, 449, 1313, 1282, 1178, 1275, 1309, 1369, 287, 1057, 1333, 801, 264, 1011, 1255, 1042, 993, 1117, 1226, 1237, 1269, 1082, 1090, 1268]"
1.5283842794759823,54.13,13,"[1239, 702, 1282, 1275, 1334, 1231, 1242, 1268, 1269, 801, 118, 742, 1371, 1234, 1319, 1266, 1355, 1254, 1128, 1090, 1327]"
0.43668122270742327,52.07,14,"[1322, 337, 766, 1229, 1371, 1268]"
1.1644832605531295,53.84,13,"[1239, 1359, 766, 349, 1275, 1355, 1144, 1309, 1269, 1327, 1226, 1148, 1042, 326, 1268, 1237]"
0.8005822416302764,53.14,14,"[1277, 1359, 1141, 766, 264, 425, 326, 1275, 1268, 1226, 1237]"
1.0189228529839882,53.56,14,"[657, 1206, 1275, 303, 1053, 1172, 1268, 326, 137, 1238, 1270, 1240, 1355, 1229]"
0.873362445414847,53.4,13,"[1023, 1234, 1359, 564, 1275, 1308, 488, 1309, 1269, 1042, 326, 1268]"
2.1834061135371177,54.79,14,"[1277, 1282, 1279, 1091, 1366, 1309, 1231, 1250, 1226, 1358, 58, 1269, 864, 1371, 1128, 1327, 1293, 1138, 1028, 1355, 1369, 1082, 1229, 1057, 1319, 1042, 1345, 1090, 1001, 1237]"
0.873362445414847,53.24,14,"[1239, 1359, 1234, 391, 1308, 1275, 311, 326, 1080, 1268, 1226, 1355]"
0.21834061135371163,51.76,13,"[793, 1275, 1307]"
