,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14103,13034,36296,23956,48591,34294,11959,43800,51923,48865,46430,35729,42218,45629,39514,24092,29810,36709,10877,20298,36101,37097,45682,15527,42838,29430,27240,24831,35873,21148,32331,49297,36860,2734,37195,33939,49965,36300,27003,48672,1722,48944,44462,44821,36043,11847,10865,41652,38019,48059,12226,19535,12989,11365,9142,15302,20211,15844,9679,12553,9370,11345,17663,16122,6327,6182,3309,5372,17414,15799,3658,17612,9164,11361,15580,20444,6172,9547,19910,6363,10318,4870,26430,14658,11265,18212,3879,16241,9576,1576,12242,7024,10832,22354,6495,7265,7195,9227,20200,4481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37699,27246,32664,29315,16362,35704,19058,13578,40874,11874,17160,18849,38636,32573,4323,13066,48709,33134,31909,45002,46227,45130,42622,28767,4821,11043,25305,47371,23600,28492,7494,10487,10268,44576,43862,25317,16251,19099,6486,9161,15650,21173,40099,34803,22240,19072,51630,47910,41954,21978,42383,50433,9167,11242,41624,32951,49174,45328,2764,3671,31729,39949,14333,37332,26811,16396,36388,32478,43986,16774,18450,28494,45978,34538,19036,45389,24673,36374,32338,23797,47412,32228,13860,14178,34089,37424,40093,21270,33616,18786,28988,27087,32710,15551,5934,11668,40809,39057,17535,25610
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17095,19023,18495,38701,22720,31269,35354,44701,16295,26480,44971,16924,28719,25329,44409,31883,28357,1373,23960,30454,44922,24772,16493,22004,39563,24910,26932,19330,13168,3156,43780,31304,25299,21983,14974,10386,15639,28035,28128,35846,16509,1637,43568,49155,48771,10999,29063,10403,15244,22945,31644,22422,36269,19325,8183,26619,23959,14817,52521,30201,20177,12123,26388,36564,9623,7604,45560,7369,11054,31005,26784,31123,41248,11270,12717,18520,30449,12741,25188,21590,11313,11676,44186,20938,46728,30902,6808,7336,18055,16869,10436,5896,5858,7513,24475,50965,8680,12816,12936,18229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53215,48168,3008,13083,4792,26082,10131,13198,47960,37472,19154,36866,35470,24360,29990,46633,30062,15066,33022,21882,30428,47162,44231,28958,7649,9087,2496,18853,30146,12060,42773,11585,28296,26942,30472,36109,26906,23237,6647,29842,33792,38901,42376,36501,19525,25255,35214,36561,30242,28166,51355,45964,14967,13254,9544,11624,46329,42426,27569,39011,45908,47108,12464,2212,16824,17955,39536,4341,21436,31995,15704,37028,29751,24520,29484,15170,27477,28318,47653,18997,15130,9613,23282,16918,24427,17982,41885,20877,18084,12027,42176,21941,23980,12513,16334,21049,37619,20219,42549,370
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44722,26088,41474,25037,43780,14871,11287,35658,20845,12485,34451,18620,34586,33715,25477,41783,52743,45456,17041,16244,28034,42649,17162,4104,17602,8185,28215,36072,44157,14227,29974,15770,20327,23249,31556,20600,41025,9390,25048,11670,12511,13967,31337,37624,26408,26280,33729,30636,33156,25129,20912,22799,30187,22703,43615,44729,33482,20317,9856,11833,16091,45806,24838,44209,18399,31732,42927,3549,15625,17297,32987,43403,18827,31019,11489,11055,35410,32518,19891,20942,39997,6479,51503,36323,53228,45646,44305,39467,23820,28626,29911,21567,25623,33700,25618,34554,31816,25526,32172,37867
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47399,33817,39989,31448,33751,22440,21433,28351,28259,38397,48761,27820,11627,34079,37902,27514,7894,2743,30284,38618,18557,18614,41269,48092,31562,20083,41395,16878,32814,19054,39248,817,45940,36066,29566,17951,26954,16270,20729,24425,40274,48149,28486,25316,47965,16461,32872,33099,39091,22079,23048,32378,53035,30655,13287,19174,8831,1541,43111,31458,45473,50110,16823,21340,53927,47625,22099,16051,41934,13718,47401,37875,33553,23295,42403,16326,51707,18291,26984,17715,37861,21641,21062,26555,36760,9698,26588,17900,29893,34304,29491,16545,21242,15380,48528,33979,21503,23387,39488,1703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7859,29502,22380,1631,5794,33515,35213,18613,22743,13040,20946,16901,12771,7584,32674,30660,18452,20672,38689,13358,39684,31431,40009,28487,33138,8275,21027,51404,46378,29905,52396,18444,36703,31364,22043,9486,4107,51563,30293,49289,43532,28492,4016,29464,8689,33237,16919,17361,32644,30317,36092,36069,39930,27006,20885,26903,40309,14503,21858,30833,52389,9366,35357,32453,12313,40769,34627,11181,29132,15568,34779,28305,44937,22135,35878,15501,20794,15056,15378,37897,25251,31794,48024,20710,40995,36911,27512,38272,50513,32440,19692,35906,13731,8389,40900,10510,19874,20193,14504,20694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14717,24591,45081,36665,14204,27500,22509,37247,39381,19996,35630,342,25196,26910,15405,24096,21104,31167,16354,16912,23346,8735,22586,17916,48015,32857,39238,38952,26452,37608,30260,39995,5254,25172,11879,50162,40201,40821,25936,38807,28236,22178,25033,35311,37276,41083,21365,30724,52680,27574,34723,40310,32876,34871,53876,34555,42513,23974,39522,13363,43682,41523,44944,17180,29925,23534,18395,27674,19109,24304,41834,19600,40528,37432,6693,24717,36924,3564,34697,30218,40891,30425,25941,6756,4241,342,29547,30656,36378,25387,23934,12064,36956,15306,28314,8883,33346,14273,34452,22956
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46065,13111,32058,38146,23969,27903,52358,19669,44718,31258,43367,43299,25859,30409,35534,17989,52539,24705,15739,24671,24730,13181,32035,4341,45025,30400,42781,10200,21194,23088,21828,30025,9517,22381,41647,50215,25090,23719,26813,41853,52758,4224,30968,18136,24875,20604,50551,31473,16739,23127,20767,37090,27421,26936,54435,19826,30096,18639,22431,39769,33983,31557,47055,29159,21456,26641,40332,20233,41463,17250,10151,30374,17190,27918,20342,15875,33304,25676,27802,25441,41481,24749,30624,13905,23932,42001,17842,24095,9298,19716,25618,33788,51547,20244,18402,50417,29180,8940,15191,18924
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11759,10012,36747,23857,16676,24418,22764,21971,31100,16732,35118,39106,17029,23283,18585,36686,16074,28668,21639,44622,17440,25388,51268,19229,18631,12289,39337,22952,31817,52372,14106,43748,34366,31752,1555,44188,8637,12644,16354,45924,18790,20757,39263,22817,34353,32051,43425,18161,8503,9908,26580,40103,33951,45164,52594,38109,52343,28543,35169,28448,41518,29587,39477,27598,50175,18302,53264,32711,28472,12269,49119,46137,21238,27679,26550,23301,30270,3319,34803,33855,32399,26693,31863,18156,40331,33159,31292,19008,24612,35549,47903,32380,36827,16899,22588,15217,25261,36627,20377,43916
