generation,hv
1,0.05477233969632136
2,0.055670876347547915
3,0.05616938599588724
4,0.0564916472799784
5,0.056680561036910874
6,0.05678377438049145
7,0.056921455351764544
8,0.057030526244729256
9,0.057144792597054614
10,0.05723791620796378
11,0.05730685925264317
12,0.05737983455538708
13,0.05745779241011155
14,0.05750038427185678
15,0.0576414873398002
16,0.05771101458155913
17,0.05780471979311635
18,0.057860865027106766
19,0.057942437114429944
20,0.05799461240471098
21,0.05810047151195397
22,0.058142673908979495
23,0.05820194524645327
24,0.05823204307999086
25,0.05826844245269301
26,0.05832368153210227
27,0.05834642627173212
28,0.058372865733336096
29,0.05841954697463806
30,0.05845083916664936
31,0.05846779646054463
32,0.058497349043474645
33,0.058554784703902955
34,0.05858837993062336
35,0.05861016139417985
36,0.058659028830774985
37,0.05870309546559208
38,0.05877128814157821
39,0.05881083438921546
40,0.05886323037617098
41,0.05888970359138399
42,0.05892603286043663
43,0.05897200267951727
44,0.059005673202750145
45,0.05903633446191555
46,0.0590759456203394
47,0.059094211515692836
48,0.059122559354423274
49,0.05913479373948445
50,0.05916801248364248
51,0.05918004953991234
52,0.05920441704920758
53,0.059247624265209874
54,0.059278893089337995
55,0.05931339447063954
56,0.05934145670190889
57,0.059368181770973964
58,0.05940615458114367
59,0.0594253889454334
60,0.05943344307583657
61,0.05945921006169121
62,0.05948560019109736
63,0.0595149528488046
64,0.05953344463369545
65,0.059567198242735195
66,0.059600962237500776
67,0.059633529277361194
68,0.05965008672081093
69,0.05968213187794696
70,0.05971394335625118
71,0.059735597594665894
72,0.05977310045074051
73,0.05979064453814679
74,0.059831117711816886
75,0.05985283686101822
76,0.059871500010385735
77,0.05987951779074839
78,0.05989016835261616
79,0.05990985709241219
80,0.05991926396360843
81,0.05993628357185886
82,0.059946952308746866
83,0.05996809245373161
84,0.05998030347090959
85,0.060014077851401046
86,0.06005225318322497
87,0.06006805246868705
88,0.0600818135554494
89,0.06011375485532684
90,0.06013201815424881
91,0.06015023212097294
92,0.06016947687098851
93,0.06017782959101011
94,0.06018702874768918
