generation,hv
1,0.03859318623124449
2,0.03887366872609591
3,0.03933554574874963
4,0.039490603118564296
5,0.039699841129744035
6,0.03990929096793174
7,0.04006599588114151
8,0.04024894380700205
9,0.04036876728449544
10,0.040509702853780534
11,0.04062394822006473
12,0.040736640188290686
13,0.04076333039129157
14,0.04083196234186526
15,0.04095079729332158
16,0.04104793174463079
17,0.04113037952338924
18,0.04117302736098853
19,0.0413185054427773
20,0.0414001529861724
21,0.04147979994115916
22,0.04153339217416888
23,0.04161167402177112
24,0.04166220653133277
25,0.04181622830244189
26,0.04194259488084731
27,0.04207388055310386
28,0.042112197705207424
29,0.042156375404530745
30,0.04219248014121801
31,0.042204295380994405
32,0.04225548690791409
33,0.04231858781994705
34,0.04239025595763461
35,0.042420500147102094
36,0.04246239482200649
37,0.04250017063842308
38,0.042564142394822015
39,0.042605142689026196
40,0.042635951750514864
41,0.04267212709620478
42,0.04270291262135923
43,0.04279788172992057
44,0.042819746984407187
45,0.04286267725801707
46,0.04290951456310679
47,0.04293615769343924
48,0.04296574286554869
49,0.043019570461900566
50,0.04304986172403649
51,0.04307871726978524
52,0.04308773168578995
53,0.04311839952927333
54,0.04315553986466609
55,0.043191432774345395
56,0.043222783171521034
57,0.04324337746396
58,0.04327731685789939
59,0.04329661665195645
60,0.043327896440129444
61,0.04334931450426596
62,0.043387066784348345
63,0.04339302147690498
64,0.04341674610179465
65,0.04344174168873197
66,0.04344291850544277
67,0.04345125036775523
68,0.0434580052956752
69,0.04346440717858193
70,0.043471067961165046
71,0.04348281259193881
72,0.04350213592233009
73,0.043536687260959106
74,0.043548361282730215
75,0.04355224477787585
76,0.043568837893498094
77,0.04359338629008532
78,0.043612827302147696
79,0.043620735510444264
80,0.043640764930862025
81,0.04366486613709915
82,0.0436935569285084
83,0.04370989114445427
84,0.04372238893792293
85,0.043735263312739046
86,0.043750020594292456
87,0.04375635186819655
88,0.043764707266843214
89,0.043769485142689045
90,0.04377426301853488
91,0.043788337746396025
92,0.04381359223300973
93,0.04383145631067963
94,0.04383952927331569
95,0.043862100617828796
96,0.04386407766990293
97,0.04387669314504268
98,0.04390098264195354
99,0.04391006766696088
100,0.043924283612827304
