n_nodes,influence,nodes,time
0.1557632398753894,0.3115264797507788,[215],289362
0.3115264797507788,0.4828660436137072,"[215, 134]",289362
0.46728971962616817,0.6074766355140186,"[215, 134, 384]",289362
0.6230529595015576,0.7632398753894081,"[215, 134, 384, 667]",289362
0.778816199376947,1.0591900311526479,"[215, 134, 384, 667, 156]",289362
0.9345794392523363,1.1526479750778817,"[215, 134, 384, 667, 156, 294]",289362
1.0903426791277258,1.4174454828660434,"[215, 134, 384, 667, 156, 294, 480]",289362
1.2461059190031152,1.5109034267912773,"[215, 134, 384, 667, 156, 294, 480, 612]",289362
1.4018691588785046,1.7757009345794394,"[215, 134, 384, 667, 156, 294, 480, 612, 211]",289362
1.557632398753894,1.8691588785046727,"[215, 134, 384, 667, 156, 294, 480, 612, 211, 660]",289362
1.7133956386292832,2.1183800623052957,"[215, 134, 384, 667, 156, 294, 480, 612, 211, 660, 675]",289362
1.8691588785046727,2.398753894080997,"[215, 134, 384, 667, 156, 294, 480, 612, 211, 660, 675, 280]",289362
2.0249221183800623,2.4299065420560746,"[215, 134, 384, 667, 156, 294, 480, 612, 211, 660, 675, 280, 38]",289362
2.1806853582554515,2.5856697819314647,"[215, 134, 384, 667, 156, 294, 480, 612, 211, 660, 675, 280, 38, 185]",289362
2.336448598130841,2.866043613707165,"[215, 134, 384, 667, 156, 294, 480, 612, 211, 660, 675, 280, 38, 185, 242]",289362
2.4922118380062304,3.0373831775700935,"[215, 134, 384, 667, 156, 294, 480, 612, 211, 660, 675, 280, 38, 185, 242, 257]",289362
