n_nodes,influence,nodes,time
0.06765899864682003,0.5622462787550744,[444],50970979
0.13531799729364005,1.0087956698240867,"[444, 406]",50970979
0.20297699594046006,1.317320703653586,"[444, 406, 116]",50970979
0.2706359945872801,1.651556156968877,"[444, 406, 116, 814]",50970979
0.3382949932341001,2.0696887686062246,"[444, 406, 116, 814, 189]",50970979
0.40595399188092013,2.4133964817320703,"[444, 406, 116, 814, 189, 86]",50970979
0.4736129905277402,2.6197564276048713,"[444, 406, 116, 814, 189, 86, 895]",50970979
0.5412719891745602,2.814614343707713,"[444, 406, 116, 814, 189, 86, 895, 210]",50970979
0.6089309878213802,3.003382949932341,"[444, 406, 116, 814, 189, 86, 895, 210, 678]",50970979
0.6765899864682002,3.1529093369418137,"[444, 406, 116, 814, 189, 86, 895, 210, 678, 1055]",50970979
0.7442489851150204,3.2253044654939114,"[444, 406, 116, 814, 189, 86, 895, 210, 678, 1055, 289]",50970979
0.8119079837618403,3.6326116373477673,"[444, 406, 116, 814, 189, 86, 895, 210, 678, 1055, 289, 625]",50970979
0.8795669824086604,3.6190798376184032,"[444, 406, 116, 814, 189, 86, 895, 210, 678, 1055, 289, 625, 36]",50970979
0.9472259810554804,3.9215155615696893,"[444, 406, 116, 814, 189, 86, 895, 210, 678, 1055, 289, 625, 36, 1098]",50970979
