n_nodes,influence,communities,nodes
2.3391812865497075,46.97,42,"[362, 2060, 1603, 2940, 253, 1213, 1876, 738, 1282, 886, 2173, 2433, 143, 1381, 640, 3179, 1224, 239, 1917, 235, 242, 345, 2858, 193, 2671, 1065, 563, 2889, 420, 988, 3006, 677, 1252, 1441, 3040, 977, 2955, 2087, 34, 865, 517, 2252, 2111, 2500, 93, 398, 1384, 814, 1007, 244, 1725, 1726, 78, 129, 3337, 3071, 911, 33, 1259, 1484, 679, 2092, 553, 3121, 1585, 3002, 2379, 1872, 1358, 2513, 602, 2523]"
2.4366471734892787,47.58,42,"[362, 2060, 2940, 738, 253, 1533, 1603, 886, 2377, 1876, 1213, 772, 1000, 194, 1499, 1358, 2500, 590, 771, 3179, 1726, 93, 2102, 1259, 2433, 235, 2092, 143, 715, 517, 3337, 398, 129, 911, 33, 2523, 711, 679, 1288, 2111, 2858, 1281, 2889, 1484, 1872, 1252, 2513, 602, 1384, 865, 1585, 977, 1224, 1917, 667, 239, 640, 1531, 1303, 2148, 988, 2173, 1803, 2429, 1524, 3273, 1669, 390, 1940, 553, 3121, 3002, 1501, 3071, 3231]"
1.916829109811566,43.25,40,"[242, 679, 577, 901, 2568, 1358, 362, 1381, 2500, 1876, 745, 1444, 1000, 2107, 1484, 93, 2102, 3040, 235, 2940, 1872, 680, 33, 590, 1917, 3337, 573, 1288, 667, 1726, 715, 398, 640, 977, 865, 3179, 129, 2889, 1603, 239, 1384, 1259, 1224, 911, 1282, 3231, 1585, 1213, 2092, 2173, 2630, 988, 253, 3071, 2433, 517, 2858, 1803, 143]"
1.916829109811566,43.02,41,"[33, 362, 96, 814, 2630, 563, 420, 3006, 398, 677, 2889, 2523, 143, 2433, 93, 1917, 1441, 2092, 745, 1603, 235, 865, 1444, 1000, 2107, 2102, 3040, 2940, 680, 2925, 573, 1288, 667, 715, 640, 977, 3179, 1384, 129, 239, 1484, 517, 1259, 1224, 1282, 3231, 1213, 1872, 2173, 988, 1358, 1585, 1726, 253, 3071, 2858, 1803, 3337, 911]"
1.461988304093567,38.38,39,"[2433, 143, 1007, 601, 1533, 2630, 1224, 1484, 2102, 1615, 1524, 1917, 1303, 679, 345, 977, 988, 2889, 553, 1088, 3071, 253, 1252, 3179, 193, 3002, 1213, 398, 640, 2173, 2513, 2858, 602, 2500, 93, 517, 1585, 563, 865, 1282, 129, 1603, 362, 2092, 911]"
1.3320337881741389,36.28,40,"[2433, 143, 253, 1322, 1224, 2102, 1533, 1615, 1484, 1524, 375, 3465, 2630, 93, 420, 1917, 679, 2523, 1585, 2889, 398, 444, 235, 3337, 865, 2379, 1252, 3179, 517, 911, 1065, 2858, 1384, 1259, 553, 2092, 563, 3006, 1603, 988, 362]"
1.2345679012345678,34.48,37,"[362, 2060, 1603, 2940, 253, 1876, 563, 1824, 738, 143, 235, 988, 886, 2173, 1917, 398, 2116, 865, 1252, 679, 3179, 517, 2630, 2889, 2092, 1019, 911, 2338, 345, 33, 129, 2433, 1065, 1484, 1259, 1872, 2858, 1384]"
1.8518518518518516,41.8,42,"[857, 253, 1510, 3071, 2630, 1381, 1065, 3040, 640, 1224, 239, 193, 1259, 886, 345, 3179, 2671, 677, 235, 738, 3006, 242, 1441, 398, 2955, 362, 3455, 143, 1917, 3337, 679, 1132, 2173, 33, 563, 1252, 865, 977, 420, 1585, 2433, 1725, 1282, 2379, 78, 1358, 1603, 988, 2889, 1484, 1213, 1872, 2092, 517, 911, 602, 1384]"
1.267056530214425,35.62,38,"[857, 2027, 1259, 3071, 1510, 143, 1533, 253, 2102, 1917, 362, 2252, 1224, 1484, 563, 988, 679, 602, 1725, 78, 2433, 1065, 3119, 2889, 2630, 235, 3337, 1872, 2092, 398, 3190, 865, 911, 33, 2858, 1585, 1603, 1384, 3179]"
1.5919428200129953,39.45,41,"[2568, 2940, 1211, 253, 3071, 242, 738, 420, 886, 471, 1978, 2379, 3420, 2630, 3179, 1872, 1065, 1224, 1252, 1148, 2345, 640, 143, 93, 1259, 1007, 2433, 911, 517, 1917, 1384, 865, 3337, 362, 398, 1585, 33, 679, 2092, 2858, 563, 3006, 1603, 2889, 1484, 1358, 602, 988, 235]"
