n_nodes,influence,time,nodes
6.0,203.7,6,"[373, 290, 319, 160, 496, 28]"
4.0,189.54,5,"[373, 290, 189, 74]"
3.0,155.54,5,"[154, 439, 345]"
8.0,212.36,7,"[443, 379, 130, 263, 237, 28, 31, 492]"
1.0,101.96,2,[130]
8.0,227.8,5,"[192, 264, 130, 31, 28, 265, 383, 458]"
9.0,230.12,5,"[276, 290, 189, 263, 28, 378, 175, 395, 46]"
7.0,212.72,6,"[147, 495, 130, 263, 369, 28, 31]"
14.0,247.38,7,"[168, 93, 516, 140, 270, 406, 77, 281, 293, 475, 369, 220, 7, 432]"
3.0,187.66,4,"[126, 54, 248]"
11.0,241.62,6,"[280, 93, 406, 281, 135, 516, 140, 397, 506, 74, 398]"
4.0,200.16,4,"[168, 196, 248, 19]"
2.0,164.82,4,"[121, 255]"
12.0,235.12,7,"[382, 90, 516, 6, 270, 406, 77, 186, 293, 475, 369, 220]"
13.0,244.76,7,"[280, 93, 236, 7, 126, 516, 140, 397, 281, 406, 475, 220, 432]"
13.0,245.9,6,"[192, 264, 130, 31, 28, 319, 271, 7, 370, 475, 432, 220, 234]"
2.0,168.12,3,"[147, 255]"
14.0,251.44,6,"[280, 395, 397, 406, 135, 516, 140, 370, 281, 77, 475, 82, 7, 432]"
6.0,215.52,5,"[21, 379, 130, 263, 319, 28]"
16.0,259.0,7,"[280, 156, 77, 140, 516, 397, 94, 281, 406, 475, 9, 220, 114, 206, 7, 432]"
21.0,268.28,7,"[280, 93, 135, 281, 406, 267, 476, 369, 516, 475, 29, 220, 109, 370, 429, 367, 441, 497, 432, 253, 7]"
10.0,235.24,6,"[280, 156, 77, 516, 286, 397, 31, 237, 370, 92]"
15.0,257.8,7,"[147, 495, 516, 140, 369, 397, 406, 77, 281, 255, 475, 220, 432, 7, 29]"
9.0,229.64,6,"[280, 156, 516, 140, 319, 28, 31, 372, 76]"
20.0,263.66,7,"[21, 379, 130, 263, 319, 28, 281, 370, 475, 487, 220, 9, 109, 366, 367, 441, 432, 497, 253, 7]"
5.0,210.94,5,"[412, 290, 130, 263, 28]"
9.0,227.14,7,"[443, 304, 237, 76, 355, 130, 31, 263, 492]"
7.0,190.64,7,"[443, 379, 57, 492, 130, 263, 230]"
22.0,271.24,7,"[154, 93, 516, 140, 267, 406, 77, 281, 370, 475, 369, 220, 7, 432, 29, 114, 82, 67, 53, 367, 497, 253]"
5.0,196.16,6,"[134, 255, 50, 425, 492]"
19.0,263.26,7,"[280, 156, 94, 77, 220, 516, 397, 281, 406, 475, 140, 9, 370, 310, 366, 95, 484, 363, 107]"
24.0,274.84,7,"[280, 476, 93, 281, 441, 135, 406, 432, 484, 475, 29, 267, 220, 363, 369, 107, 366, 516, 429, 253, 109, 370, 103, 497]"
7.0,225.22,5,"[17, 379, 130, 31, 263, 57, 281]"
8.0,220.92,6,"[280, 156, 516, 414, 383, 28, 31, 458]"
