generation,hv
1,0.06490405881389254
2,0.06609934742245523
3,0.06847026539973787
4,0.06926704483398866
5,0.07107586555264309
6,0.07299854603538664
7,0.0746854862931411
8,0.07663635867190913
9,0.0778366644823067
10,0.07906888242682393
11,0.08032140809305374
12,0.08131867081695066
13,0.08351262150502403
14,0.08380232224770644
15,0.08419100180209699
16,0.08495805346221058
17,0.08519369129532547
18,0.08525014334862387
19,0.08565779953036261
20,0.0856628849934469
21,0.0856628849934469
22,0.0858576002075142
23,0.08613631088903453
24,0.0862602391874181
25,0.08688442005242464
26,0.08736330684796856
27,0.08738067933595459
28,0.08748720101572739
29,0.08791741754041066
30,0.08815790192223678
31,0.08822213575797291
32,0.08890399737876803
33,0.08908345620358236
34,0.08919407355832243
35,0.08940933540847532
36,0.08940933540847532
37,0.08940933540847532
38,0.0895744252402796
39,0.08961674721494102
40,0.08997556247269552
41,0.08999764498689385
42,0.09009433704674531
43,0.09010720429226737
44,0.0902046130952381
45,0.09036373006771517
46,0.09123003358453474
47,0.09163113668632593
48,0.09163949868938402
49,0.09215746505024028
50,0.09244743883792049
51,0.09246044260594147
52,0.09273737849497594
53,0.09279550294888599
54,0.09282041830493665
55,0.09357955166011359
56,0.09360658311489735
57,0.09366064602446483
58,0.09421909130624727
59,0.09431144877675841
60,0.09435199595893405
61,0.09436875409567497
62,0.09436875409567497
63,0.09448892802533859
64,0.09448892802533859
65,0.09448892802533859
66,0.09448892802533859
67,0.094494252402796
68,0.09452189820882481
69,0.0945304649956313
70,0.09483760648754916
71,0.09498904406946264
72,0.09520522744648319
73,0.09536755269768458
74,0.09537332077326345
75,0.09538222886631717
76,0.09538908912188729
77,0.09538908912188729
78,0.09538908912188729
79,0.09562786697247708
80,0.09562786697247708
81,0.09562786697247708
82,0.09585889717125384
83,0.09585889717125384
84,0.09586050131061599
85,0.09586050131061599
86,0.09586449459370905
87,0.09586705439056359
88,0.09586756634993449
89,0.09644792349279162
90,0.09644792349279162
91,0.09644792349279162
92,0.09645393048274356
93,0.09657065721930976
94,0.09657065721930976
95,0.09657065721930976
96,0.09657065721930976
97,0.09657065721930976
98,0.09657065721930976
99,0.09657065721930976
100,0.09664079565312365
101,0.09664079565312365
102,0.09664540328746178
103,0.0966518881061599
104,0.09666519904980343
105,0.09752133164045436
106,0.09752133164045436
107,0.09755556465705549
108,0.09755556465705549
109,0.09789287762123199
110,0.09789287762123199
111,0.09793332241153344
112,0.09793332241153344
113,0.09793332241153344
114,0.09793332241153344
115,0.09802032137396244
116,0.09802032137396244
117,0.09802032137396244
118,0.09802032137396244
119,0.09812882262996943
120,0.09818977992573177
121,0.09819489951944081
122,0.09819489951944081
123,0.09820803980996069
124,0.09820803980996069
125,0.09820803980996069
126,0.09820803980996069
127,0.09820803980996069
128,0.09820923438182613
129,0.09821896160987333
130,0.09822070227173438
131,0.09850675103757098
132,0.09850675103757098
133,0.09850675103757098
134,0.09850675103757098
135,0.09850675103757098
136,0.09850675103757098
137,0.09850675103757098
138,0.09850675103757098
139,0.09850675103757098
140,0.09851487412625601
141,0.09851487412625601
142,0.09851487412625601
143,0.09851487412625601
144,0.09851487412625601
145,0.09859265782000874
146,0.09918711091087812
147,0.09927404161205768
148,0.09927404161205768
149,0.09927404161205768
150,0.09927404161205768
151,0.09927404161205768
152,0.09927404161205768
153,0.09927404161205768
154,0.0996640522608126
155,0.0996640522608126
156,0.100136624890782
157,0.100136624890782
158,0.100136624890782
159,0.10018055100480559
160,0.10018055100480559
161,0.10018055100480559
162,0.10018055100480559
163,0.10019584152468325
164,0.10019584152468325
165,0.10019584152468325
166,0.10020935725207514
167,0.10020935725207514
168,0.1002476518130188
169,0.10028874508519003
170,0.10032314875491478
171,0.10032727856050677
172,0.10032727856050677
173,0.10032727856050677
174,0.10032727856050677
175,0.10035035086282218
176,0.10037041967016164
177,0.10056052724989079
178,0.10072356924421144
179,0.10072356924421144
180,0.10072558295107033
181,0.10073715323285276
182,0.10073715323285276
183,0.10073715323285276
184,0.10073715323285276
185,0.10073715323285276
186,0.1007578363914373
187,0.1007578363914373
188,0.1007578363914373
189,0.1007578363914373
190,0.10080193315858453
191,0.10080193315858453
192,0.10080193315858453
193,0.10080193315858453
194,0.10083630269768457
195,0.10083630269768457
196,0.10083630269768457
197,0.10098859354521625
198,0.10104340732852773
199,0.10104340732852773
200,0.10105535304718218
201,0.10105535304718218
202,0.10105535304718218
203,0.1010610869921363
204,0.1010610869921363
205,0.10111962101354303
206,0.10113842698776758
207,0.10123563100698994
208,0.10123563100698994
209,0.10123563100698994
210,0.10123563100698994
211,0.10177796663390128
212,0.10177796663390128
213,0.10178008273263434
214,0.10178008273263434
215,0.10178008273263434
216,0.10178008273263434
217,0.10178008273263434
218,0.10178008273263434
219,0.10178008273263434
220,0.10178008273263434
221,0.10178008273263434
222,0.10178008273263434
223,0.10178008273263434
224,0.10178008273263434
225,0.10178008273263434
226,0.10178008273263434
227,0.10178008273263434
228,0.10178008273263434
229,0.10178008273263434
230,0.10183694435342946
231,0.10183694435342946
232,0.10183694435342946
233,0.10183694435342946
234,0.10183694435342946
235,0.10183694435342946
236,0.10183694435342946
237,0.10183694435342946
238,0.10187735501310619
239,0.10192414809960683
240,0.10192414809960683
241,0.10192414809960683
242,0.10192414809960683
243,0.10207353784403671
244,0.10207353784403671
245,0.10207353784403671
246,0.10207353784403671
247,0.10207353784403671
248,0.10246890700087376
249,0.10249873716688511
250,0.10250160413936218
251,0.10250160413936218
252,0.10250160413936218
253,0.10266372460681522
254,0.10266372460681522
255,0.10266372460681522
256,0.10269505652031455
257,0.10274038198995195
258,0.10274038198995195
259,0.10274038198995195
260,0.10274038198995195
261,0.10274038198995195
262,0.10274038198995195
263,0.1027419519986894
264,0.1027419519986894
265,0.1027419519986894
266,0.1027419519986894
267,0.1027419519986894
268,0.1027419519986894
269,0.1027419519986894
270,0.1027419519986894
271,0.1027419519986894
272,0.1027419519986894
273,0.10275147444298821
274,0.10275147444298821
275,0.10275147444298821
276,0.1027575155635649
277,0.1027575155635649
278,0.10278550267584098
279,0.10280137341633905
280,0.10280137341633905
281,0.1029862248798602
282,0.1030863641328091
283,0.1030863641328091
284,0.1030863641328091
285,0.10309615962210573
286,0.10309615962210573
287,0.10309615962210573
288,0.10309615962210573
289,0.10357651403451289
290,0.10357651403451289
291,0.10357651403451289
292,0.10357651403451289
293,0.10357651403451289
294,0.10357651403451289
295,0.10357651403451289
296,0.10357651403451289
297,0.10358695800567934
298,0.10358695800567934
299,0.10358695800567934
300,0.10358695800567934
301,0.10358770887942333
302,0.10358770887942333
303,0.10358770887942333
304,0.10358770887942333
305,0.10358770887942333
306,0.10358770887942333
307,0.10359354521625164
308,0.1038152236238532
309,0.1038152236238532
310,0.1038152236238532
311,0.10382706695063347
312,0.10382706695063347
313,0.10382706695063347
314,0.10382706695063347
315,0.10382706695063347
316,0.10382952435561381
317,0.10382952435561381
318,0.10383720374617739
319,0.1038857374945391
320,0.1038857374945391
321,0.1038857374945391
322,0.1038857374945391
323,0.1038857374945391
324,0.1038857374945391
325,0.1038857374945391
326,0.1038857374945391
327,0.10447080466360856
328,0.10447080466360856
329,0.10510536123853209
330,0.10510536123853209
331,0.10510536123853209
332,0.10510536123853209
333,0.10510536123853209
334,0.10510536123853209
335,0.10510536123853209
336,0.10510536123853209
337,0.10510536123853209
338,0.10510536123853209
339,0.10510536123853209
340,0.10510536123853209
341,0.10555861593490606
342,0.10555861593490606
343,0.10555861593490606
344,0.10555861593490606
345,0.10555861593490606
346,0.10555861593490606
347,0.10555861593490606
348,0.10557629559851464
349,0.10557629559851464
350,0.10557629559851464
351,0.10557629559851464
352,0.10557629559851464
353,0.10557629559851464
354,0.10590872788335519
355,0.10590872788335519
356,0.10590872788335519
357,0.10590872788335519
358,0.10590872788335519
359,0.10590872788335519
360,0.1059876378877239
361,0.1059876378877239
362,0.1059876378877239
363,0.1059876378877239
364,0.1059876378877239
365,0.1059876378877239
366,0.1059876378877239
367,0.1059876378877239
368,0.1059876378877239
369,0.1059876378877239
